cluster,count
ၚ်,950763
န်,522017
တ်,391514
က်,280291
မ,267743
ဝ်,248547
ဂှ်,230972
အ,209025
ပ,192817
ပ်,190446
ဂ,187762
ကဵု,170914
ဍု,164300
လ,157729
က,152127
ဟ်,150333
သ,126629
တ,123611
တုဲ,115837
ရ,115664
ရ။,104230
ပ္ဍဲ,103366
အ်,103235
ဒ,85938
အာ,84887
ဒှ်,83429
ညး,81691
ဂွံ,80888
ဟွံ,73991
ရေ,73137
မွဲ,72259
ခ,70210
လေ,67927
န,66892
တံ,62108
ဗ,60309
နူ,57096
စ,55835
ကွာ,55241
ဝွံ,54294
ကု,53979
ကောံ,51147
၁,50788
ရာ,49026
ကော,48459
ကျာ်,48171
ဒး,47634
ဝ,47508
ရ၊,47424
ဇ,46775
၂,43674
အို,43424
ကေ,42617
စို,42101
၀,42054
တိ,41966
မ္ဂး,40808
မၠို,40531
ကီု,40403
တို,40002
လိ,39913
မဳ,39239
ကၠု,39019
ဓ,38187
ဘာ,37898
ရော,37890
နွံ,37348
မံ,37246
မာ,36895
ဟီု,36664
။,36643
ကာ,36311
ထ,35619
ကူ,34958
မိ,33779
ယ,33438
ဇၞော်,33039
ပို,32473
ရဴ,32177
ဒု,31767
သာ,31334
သွ,30474
တု,30305
ဏံ,29126
သဳ,28213
ရို,28089
မ်,28064
ဝါ,27495
ရး,27337
ပွို,27146
နာ,26992
ဆ,26891
ဒၟံ,26769
ပါ,26377
သာ်,26233
တၠ,26173
မၞိ,26142
တဴ,25744
ညာ,23964
လု,23367
ဟို,22995
၃,22962
ပြ,22918
ဗွဲ,22465
ဗော်,22438
မု,22408
ပိုဲ,22276
သၟိ,21966
မၞုံ,21493
ကၠော,21474
သု,21223
တဳ,21154
သၞာံ,21151
သၟ,20148
ပၠ,20037
ဒေ,19981
သ္ပ,19888
ဖ,19600
လဵု,19443
တ္ၚဲ,19397
အဲ,19224
ဟ,19030
ခိ,18570
ၜို,18494
လာ,18491
ၚ်၊,18312
၊,18250
၅,18164
ပၞာ,18073
ရု,17949
တာ,17871
သီု,17846
နာဲ,17708
ဂၠို,17637
ဗီု,17101
တီ,16729
ဘ,16726
ဥ,16593
ပွ,16316
၄,16314
ညံ,16289
ကေုာံ,16092
ၜါ,16003
၉,15921
ဂိ,15874
တွဵု,15831
လော,15829
သေ,15763
ယွံ,15727
နိ,15466
ဟာ,15395
ဗြဴ,15168
က္က,15103
၈,14961
ဍာ်,14796
ယ်,14768
တေံ,14496
ကို,14470
ဍေံ,14237
ဏ်,14128
ဂို,13906
ပံ,13801
ဂး,13723
တှေ်,13549
ၚ်။,13294
တၞ,13105
၆,13079
မာဲ,12808
စၟ,12783
မ္မ,12763
ရိ,12623
ပိ,12471
ဗၟာ,12288
သိ,12270
ရ်,12173
ပု,12103
ဏာ,12041
ဇာ,12035
ခို,11939
တၟိ,11920
ထ္ၜး,11877
လို,11740
န်၊,11675
ဏ,11607
ဟေ,11540
လီု,11531
၇,11364
စု,11294
ဉ်,11277
ခေါ,11093
ဇြ,10951
အံ,10941
စာ,10872
ပေ,10806
သို,10679
မၠော,10596
ထေ,10512
တဲ,10493
ဒို,10472
ကၠာ,10349
သၟာ,10311
ရ၊၊,10199
ကၠ,10166
ဗု,10150
ဏော,10101
ဝေ,10038
ညိ,10035
ဓိ,9830
အု,9805
က္ဍို,9767
ဌာ,9674
သ္ၚိ,9455
ယာ,9218
ည,9092
တဵု,9090
ယု,9071
ဒါ,9020
ကြု,9008
တြဲ,8859
ဆဵု,8836
ဒၞာဲ,8813
တေ,8768
ပါ်,8735
တူ,8700
ဒဳ,8607
ဝိ,8586
ဒဵု,8512
သြ,8487
ဂု,8419
လံ,8379
ယၟု,8171
အ္စာ,8169
ရံ,8079
ဏီ,8035
လၟု,7984
ဇို,7902
ရုဲ,7889
ရီု,7796
ကြ,7758
ရဲ,7755
စွံ,7736
ၚ်း,7712
သၞော,7645
စဵု,7620
ချူ,7588
အော,7575
သ္ဂး,7549
လ်,7502
ကြာ,7461
အေ,7447
ဣ,7447
စိ,7447
ဍော,7379
မေ,7368
ကၠေံ,7344
ယဲ,7121
လး,7113
ကၟိ,6966
ဗို,6832
ကျာ,6829
န်း,6810
ဒ်,6725
ဇ်,6589
ဍို,6547
လုံ,6538
သၞေ,6534
ကော်,6532
ဂၠံ,6499
ပေါ,6495
ကီု၊,6458
တော,6401
ပူ,6369
သွာ,6361
ခေ,6268
နု,6233
ထံ,6205
စ္စ,6189
မ္ဂး၊,6186
လျို,6158
ညဳ,6140
မြ,6110
လ္တူ,6099
ထောံ,6085
တှ်ေ,6057
သော,6020
လ္ၚဵု,6020
ချ,6019
တ်၊,5994
ဖျေံ,5900
ကိ,5889
မူ,5854
ည်,5841
ကၠဳ,5834
ပြာ,5813
ကံ,5786
ဆံ,5745
သံ,5738
ဒိ,5690
န္တ,5680
သ္ဂောံ,5625
စၞး,5605
ဒြ,5565
ဒေါ,5523
တၟ,5521
န္ဒ,5475
နဲ,5466
စှ်,5439
လွ,5418
မ္တီ,5417
စေ,5393
ဍာံ,5385
ပေဲါ,5383
မော,5377
သေံ,5364
ရူ,5331
သၞာ,5316
ဂြို,5266
တၞံ,5251
တ္တ,5243
စဳ,5240
တၟံ,5196
ပေါဲ,5192
ပၟိ,5165
ဟံ,5145
ကြဴ,5138
ဋ်,5134
ချို,5120
ဿ,5106
သၠု,5103
တး,5097
လၟိ,5087
ဗၠး,5032
စဴ,4963
က္ခ,4955
သ္ကို,4912
ဖေ,4894
ပ္တ,4861
လွဳ,4722
ဍိ,4722
သ္ဒး,4718
ကၟာ,4715
စ်,4707
ၜ,4695
ဂၞ,4693
ဨ,4688
ၚ်္ဂ,4685
တြေံ,4671
ဒ္ဂေ,4604
ဥုဲ,4601
ဩ,4589
ဝ်၊,4538
အိ,4484
ပြံ,4470
ဂဵု,4443
ရဳ,4441
ပၟ,4439
ကွး,4429
ပ္တံ,4410
တွံ,4409
နေ,4397
ပ္တိ,4395
ဆေ,4382
ၜဳ,4369
ဓါ,4338
ကွေံ,4321
ပ္တို,4264
ဆာ,4220
တၠု,4202
ဗ္တော,4191
လ္ပာ်,4139
ဝဵု,4137
တြုံ,4127
ဗၞ,4121
က်၊,4105
ဇၟာ,4099
ဂေါ,4045
ကွဳ,4037
ကၠံ,4027
ယျ,4018
ဟ်၊,3981
စှ်ေ,3981
ဂါ,3972
သီ,3928
ဆု,3926
ဖဵု,3863
ပါဲ,3861
စှေ်,3845
ဇြဳ,3827
မှ,3816
ကာဲ,3806
ဍေ,3792
သ်,3780
ကွ,3770
န်။,3736
ညိ၊,3729
ဿဲ,3725
လၟေ,3718
ယေ,3705
က္တဵု,3695
မၞး,3682
ထော,3662
ဗော,3645
ပှ်,3612
ခါ,3608
ဗၠာဲ,3596
ကျ,3595
ဃော,3585
ၜး,3572
ဒ္ဓ,3563
ဂၠာဲ,3548
ယို,3546
လ္ပ,3544
လှာ,3508
လ္ၚ,3491
ဗာ,3488
ဖို,3481
ၚု,3481
ဟဵု,3455
ဇၞး,3452
စံ,3432
သ္ၚာ,3416
ပြဲ,3382
ဗြ,3370
ခၞံ,3363
မှာ,3354
စော,3337
သဵု,3329
ခြာ,3320
စောဲ,3304
ဇု,3303
ယော,3288
ချဳ,3283
ဖာ,3272
ဗိ,3257
သၠး,3249
သ္ဍို,3217
ရာဲ,3215
က္ခာ,3202
ဗ္ဒ,3158
စၞော,3155
ဘိ,3154
ဌ,3152
ဓု,3132
နဳ,3127
လဴ,3088
သွံ,3088
ဒ္ဒ,3075
ဗှ်,3060
ဝှ်,3046
ဗဵု,3027
သၟး,3025
ဂၠး,3023
တၟေ,3013
