bigram,count,codepoints,unicode_names
ၚ်,607797,U+105A U+103A,MYANMAR LETTER MON NGA | MYANMAR SIGN ASAT
န်,545008,U+1014 U+103A,MYANMAR LETTER NA | MYANMAR SIGN ASAT
ို,532912,U+102D U+102F,MYANMAR VOWEL SIGN I | MYANMAR VOWEL SIGN U
ော,414323,U+1031 U+102C,MYANMAR VOWEL SIGN E | MYANMAR VOWEL SIGN AA
်က,410586,U+103A U+1000,MYANMAR SIGN ASAT | MYANMAR LETTER KA
တ်,400058,U+1010 U+103A,MYANMAR LETTER TA | MYANMAR SIGN ASAT
င်,391249,U+1004 U+103A,MYANMAR LETTER NGA | MYANMAR SIGN ASAT
ှ်,359897,U+103E U+103A,MYANMAR CONSONANT SIGN MEDIAL HA | MYANMAR SIGN ASAT
်တ,306007,U+103A U+1010,MYANMAR SIGN ASAT | MYANMAR LETTER TA
ဵု,287735,U+1035 U+102F,MYANMAR VOWEL SIGN E ABOVE | MYANMAR VOWEL SIGN U
်ဂ,286697,U+103A U+1002,MYANMAR SIGN ASAT | MYANMAR LETTER GA
က်,285545,U+1000 U+103A,MYANMAR LETTER KA | MYANMAR SIGN ASAT
ွံ,282261,U+103D U+1036,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR SIGN ANUSVARA
ာန,277210,U+102C U+1014,MYANMAR VOWEL SIGN AA | MYANMAR LETTER NA
်ပ,275260,U+103A U+1015,MYANMAR SIGN ASAT | MYANMAR LETTER PA
်မ,272303,U+103A U+1019,MYANMAR SIGN ASAT | MYANMAR LETTER MA
ဝ်,254398,U+101D U+103A,MYANMAR LETTER WA | MYANMAR SIGN ASAT
ုၚ,234735,U+102F U+105A,MYANMAR VOWEL SIGN U | MYANMAR LETTER MON NGA
ဂှ,232868,U+1002 U+103E,MYANMAR LETTER GA | MYANMAR CONSONANT SIGN MEDIAL HA
်သ,223038,U+103A U+101E,MYANMAR SIGN ASAT | MYANMAR LETTER SA
ုင,204317,U+102F U+1004,MYANMAR VOWEL SIGN U | MYANMAR LETTER NGA
်ရ,203703,U+103A U+101B,MYANMAR SIGN ASAT | MYANMAR LETTER RA
ပ်,192700,U+1015 U+103A,MYANMAR LETTER PA | MYANMAR SIGN ASAT
ာ်,183819,U+102C U+103A,MYANMAR VOWEL SIGN AA | MYANMAR SIGN ASAT
ုတ,181022,U+102F U+1010,MYANMAR VOWEL SIGN U | MYANMAR LETTER TA
ကဵ,171458,U+1000 U+1035,MYANMAR LETTER KA | MYANMAR VOWEL SIGN E ABOVE
်လ,171031,U+103A U+101C,MYANMAR SIGN ASAT | MYANMAR LETTER LA
ကေ,168442,U+1000 U+1031,MYANMAR LETTER KA | MYANMAR VOWEL SIGN E
်အ,168258,U+103A U+1021,MYANMAR SIGN ASAT | MYANMAR LETTER A
ဍု,165084,U+100D U+102F,MYANMAR LETTER DDA | MYANMAR VOWEL SIGN U
ုဲ,163861,U+102F U+1032,MYANMAR VOWEL SIGN U | MYANMAR VOWEL SIGN AI
ဟ်,155941,U+101F U+103A,MYANMAR LETTER HA | MYANMAR SIGN ASAT
ီု,155422,U+102E U+102F,MYANMAR VOWEL SIGN II | MYANMAR VOWEL SIGN U
တု,151123,U+1010 U+102F,MYANMAR LETTER TA | MYANMAR VOWEL SIGN U
်ဒ,144848,U+103A U+1012,MYANMAR SIGN ASAT | MYANMAR LETTER DA
ပ္,140337,U+1015 U+1039,MYANMAR LETTER PA | MYANMAR SIGN VIRAMA
ာံ,135155,U+102C U+1036,MYANMAR VOWEL SIGN AA | MYANMAR SIGN ANUSVARA
ုပ,134051,U+102F U+1015,MYANMAR VOWEL SIGN U | MYANMAR LETTER PA
ုက,131973,U+102F U+1000,MYANMAR VOWEL SIGN U | MYANMAR LETTER KA
္ဍ,130844,U+1039 U+100D,MYANMAR SIGN VIRAMA | MYANMAR LETTER DDA
်ဍ,121446,U+103A U+100D,MYANMAR SIGN ASAT | MYANMAR LETTER DDA
ံက,120003,U+1036 U+1000,MYANMAR SIGN ANUSVARA | MYANMAR LETTER KA
်ဗ,117027,U+103A U+1017,MYANMAR SIGN ASAT | MYANMAR LETTER BA
