character,count,codepoints,unicode_names
်,3860872,U+103A,MYANMAR SIGN ASAT
ု,1838930,U+102F,MYANMAR VOWEL SIGN U
က,1497861,U+1000,MYANMAR LETTER KA
ာ,1435506,U+102C,MYANMAR VOWEL SIGN AA
တ,1311337,U+1010,MYANMAR LETTER TA
ၚ,1143707,U+105A,MYANMAR LETTER MON NGA
ေ,1052300,U+1031,MYANMAR VOWEL SIGN E
ိ,1005917,U+102D,MYANMAR VOWEL SIGN I
ပ,961077,U+1015,MYANMAR LETTER PA
ံ,891676,U+1036,MYANMAR SIGN ANUSVARA
မ,886449,U+1019,MYANMAR LETTER MA
န,871111,U+1014,MYANMAR LETTER NA
ဂ,785481,U+1002,MYANMAR LETTER GA
ရ,674480,U+101B,MYANMAR LETTER RA
သ,638780,U+101E,MYANMAR LETTER SA
ွ,634896,U+103D,MYANMAR CONSONANT SIGN MEDIAL WA
ဲ,620661,U+1032,MYANMAR VOWEL SIGN AI
္,611206,U+1039,MYANMAR SIGN VIRAMA
အ,558674,U+1021,MYANMAR LETTER A
လ,551640,U+101C,MYANMAR LETTER LA
ဒ,465631,U+1012,MYANMAR LETTER DA
ဝ,456760,U+101D,MYANMAR LETTER WA
ှ,446354,U+103E,MYANMAR CONSONANT SIGN MEDIAL HA
း,392066,U+1038,MYANMAR SIGN VISARGA
ဟ,378320,U+101F,MYANMAR LETTER HA
ဍ,377624,U+100D,MYANMAR LETTER DDA
ၠ,324070,U+1060,MYANMAR CONSONANT SIGN MON MEDIAL LA
ဵ,304359,U+1035,MYANMAR VOWEL SIGN E ABOVE
စ,284479,U+1005,MYANMAR LETTER CA
ဗ,281804,U+1017,MYANMAR LETTER BA
ၞ,259660,U+105E,MYANMAR CONSONANT SIGN MON MEDIAL NA
ြ,239451,U+103C,MYANMAR CONSONANT SIGN MEDIAL RA
၊,238103,U+104A,MYANMAR SIGN LITTLE SECTION
ၟ,227450,U+105F,MYANMAR CONSONANT SIGN MON MEDIAL MA
ီ,213591,U+102E,MYANMAR VOWEL SIGN II
။,205914,U+104B,MYANMAR SIGN SECTION
ခ,198326,U+1001,MYANMAR LETTER KHA
ဳ,197724,U+1033,MYANMAR VOWEL SIGN MON II
ါ,183039,U+102B,MYANMAR VOWEL SIGN TALL AA
ဇ,182495,U+1007,MYANMAR LETTER JA
ည,180272,U+100A,MYANMAR LETTER NNYA
ျ,171767,U+103B,MYANMAR CONSONANT SIGN MEDIAL YA
ူ,168936,U+1030,MYANMAR VOWEL SIGN UU
ယ,149221,U+101A,MYANMAR LETTER YA
ဴ,124258,U+1034,MYANMAR VOWEL SIGN MON O
ဏ,107549,U+100F,MYANMAR LETTER NNA
ထ,104740,U+1011,MYANMAR LETTER THA
ဘ,82459,U+1018,MYANMAR LETTER BHA
ၜ,75884,U+105C,MYANMAR LETTER MON BBA
ဓ,75079,U+1013,MYANMAR LETTER DHA
ဆ,74930,U+1006,MYANMAR LETTER CHA
ဖ,69010,U+1016,MYANMAR LETTER PHA
၁,53607,U+1041,MYANMAR DIGIT ONE
၂,46391,U+1042,MYANMAR DIGIT TWO
၀,45530,U+1040,MYANMAR DIGIT ZERO
ဥ,27967,U+1025,MYANMAR LETTER U
၃,24241,U+1043,MYANMAR DIGIT THREE
ဌ,20002,U+100C,MYANMAR LETTER TTHA
၅,19406,U+1045,MYANMAR DIGIT FIVE
၄,17366,U+1044,MYANMAR DIGIT FOUR
၉,17008,U+1049,MYANMAR DIGIT NINE
၈,15866,U+1048,MYANMAR DIGIT EIGHT
ဋ,14586,U+100B,MYANMAR LETTER TTA
ဉ,14526,U+1009,MYANMAR LETTER NYA
၆,13897,U+1046,MYANMAR DIGIT SIX
ဿ,12356,U+103F,MYANMAR LETTER GREAT SA
၇,12003,U+1047,MYANMAR DIGIT SEVEN
့,7872,U+1037,MYANMAR SIGN DOT BELOW
ဣ,7734,U+1023,MYANMAR LETTER I
ဃ,7377,U+1003,MYANMAR LETTER GHA
ဠ,6795,U+1020,MYANMAR LETTER LLA
ဩ,5029,U+1029,MYANMAR LETTER O
ဨ,4853,U+1028,MYANMAR LETTER MON E
ၝ,4743,U+105D,MYANMAR LETTER MON BBE
ၛ,1687,U+105B,MYANMAR LETTER MON JHA
ဦ,1521,U+1026,MYANMAR LETTER UU
၏,638,U+104F,MYANMAR SYMBOL GENITIVE
႕,461,U+1095,MYANMAR SHAN DIGIT FIVE
ၐ,457,U+1050,MYANMAR LETTER SHA
ဧ,317,U+1027,MYANMAR LETTER E
ဎ,268,U+100E,MYANMAR LETTER DDHA
ႝ,229,U+109D,MYANMAR VOWEL SIGN AITON AI
၍,206,U+104D,MYANMAR SYMBOL COMPLETED
ႊ,165,U+108A,MYANMAR SIGN SHAN TONE-6
၌,145,U+104C,MYANMAR SYMBOL LOCATIVE
႘,144,U+1098,MYANMAR SHAN DIGIT EIGHT
႔,114,U+1094,MYANMAR SHAN DIGIT FOUR
ႏ,101,U+108F,MYANMAR SIGN RUMAI PALAUNG TONE-5
ၑ,94,U+1051,MYANMAR LETTER SSA
ႅ,65,U+1085,MYANMAR VOWEL SIGN SHAN E ABOVE
ဤ,57,U+1024,MYANMAR LETTER II
ႜ,57,U+109C,MYANMAR VOWEL SIGN AITON A
ဈ,50,U+1008,MYANMAR LETTER JHA
၎,45,U+104E,MYANMAR SYMBOL AFOREMENTIONED
ႉ,29,U+1089,MYANMAR SIGN SHAN TONE-5
ႆ,25,U+1086,MYANMAR VOWEL SIGN SHAN FINAL Y
ၲ,25,U+1072,MYANMAR VOWEL SIGN KAYAH OE
