bigram,count,codepoints,unicode_names
ၚ်,5495,U+105A U+103A,MYANMAR LETTER MON NGA | MYANMAR SIGN ASAT
န်,3535,U+1014 U+103A,MYANMAR LETTER NA | MYANMAR SIGN ASAT
ို,2919,U+102D U+102F,MYANMAR VOWEL SIGN I | MYANMAR VOWEL SIGN U
်က,2458,U+103A U+1000,MYANMAR SIGN ASAT | MYANMAR LETTER KA
တ်,2203,U+1010 U+103A,MYANMAR LETTER TA | MYANMAR SIGN ASAT
ော,2192,U+1031 U+102C,MYANMAR VOWEL SIGN E | MYANMAR VOWEL SIGN AA
ှ်,2131,U+103E U+103A,MYANMAR CONSONANT SIGN MEDIAL HA | MYANMAR SIGN ASAT
ုၚ,1970,U+102F U+105A,MYANMAR VOWEL SIGN U | MYANMAR LETTER MON NGA
က်,1898,U+1000 U+103A,MYANMAR LETTER KA | MYANMAR SIGN ASAT
်တ,1807,U+103A U+1010,MYANMAR SIGN ASAT | MYANMAR LETTER TA
်မ,1759,U+103A U+1019,MYANMAR SIGN ASAT | MYANMAR LETTER MA
်ပ,1740,U+103A U+1015,MYANMAR SIGN ASAT | MYANMAR LETTER PA
်ဂ,1730,U+103A U+1002,MYANMAR SIGN ASAT | MYANMAR LETTER GA
ာန,1652,U+102C U+1014,MYANMAR VOWEL SIGN AA | MYANMAR LETTER NA
ဵု,1528,U+1035 U+102F,MYANMAR VOWEL SIGN E ABOVE | MYANMAR VOWEL SIGN U
ပ်,1419,U+1015 U+103A,MYANMAR LETTER PA | MYANMAR SIGN ASAT
ဝ်,1416,U+101D U+103A,MYANMAR LETTER WA | MYANMAR SIGN ASAT
ဂှ,1410,U+1002 U+103E,MYANMAR LETTER GA | MYANMAR CONSONANT SIGN MEDIAL HA
ွံ,1394,U+103D U+1036,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR SIGN ANUSVARA
အ်,1227,U+1021 U+103A,MYANMAR LETTER A | MYANMAR SIGN ASAT
်သ,1165,U+103A U+101E,MYANMAR SIGN ASAT | MYANMAR LETTER SA
်ရ,1113,U+103A U+101B,MYANMAR SIGN ASAT | MYANMAR LETTER RA
်အ,1112,U+103A U+1021,MYANMAR SIGN ASAT | MYANMAR LETTER A
်လ,1110,U+103A U+101C,MYANMAR SIGN ASAT | MYANMAR LETTER LA
ံၚ,1082,U+1036 U+105A,MYANMAR SIGN ANUSVARA | MYANMAR LETTER MON NGA
ဟ်,1049,U+101F U+103A,MYANMAR LETTER HA | MYANMAR SIGN ASAT
ကဵ,1031,U+1000 U+1035,MYANMAR LETTER KA | MYANMAR VOWEL SIGN E ABOVE
ုတ,980,U+102F U+1010,MYANMAR VOWEL SIGN U | MYANMAR LETTER TA
ုပ,947,U+102F U+1015,MYANMAR VOWEL SIGN U | MYANMAR LETTER PA
်ဗ,938,U+103A U+1017,MYANMAR SIGN ASAT | MYANMAR LETTER BA
ီု,933,U+102E U+102F,MYANMAR VOWEL SIGN II | MYANMAR VOWEL SIGN U
်ဒ,888,U+103A U+1012,MYANMAR SIGN ASAT | MYANMAR LETTER DA
ကေ,844,U+1000 U+1031,MYANMAR LETTER KA | MYANMAR VOWEL SIGN E
မန,833,U+1019 U+1014,MYANMAR LETTER MA | MYANMAR LETTER NA
ပ္,828,U+1015 U+1039,MYANMAR LETTER PA | MYANMAR SIGN VIRAMA
ုက,813,U+102F U+1000,MYANMAR VOWEL SIGN U | MYANMAR LETTER KA
္ဍ,808,U+1039 U+100D,MYANMAR SIGN VIRAMA | MYANMAR LETTER DDA
ုဲ,806,U+102F U+1032,MYANMAR VOWEL SIGN U | MYANMAR VOWEL SIGN AI
တု,804,U+1010 U+102F,MYANMAR LETTER TA | MYANMAR VOWEL SIGN U
ာ်,786,U+102C U+103A,MYANMAR VOWEL SIGN AA | MYANMAR SIGN ASAT
ရေ,775,U+101B U+1031,MYANMAR LETTER RA | MYANMAR VOWEL SIGN E
ေၚ,764,U+1031 U+105A,MYANMAR VOWEL SIGN E | MYANMAR LETTER MON NGA
ညး,707,U+100A U+1038,MYANMAR LETTER NNYA | MYANMAR SIGN VISARGA
်န,694,U+103A U+1014,MYANMAR SIGN ASAT | MYANMAR LETTER NA
ဍဲ,673,U+100D U+1032,MYANMAR LETTER DDA | MYANMAR VOWEL SIGN AI
ဍု,662,U+100D U+102F,MYANMAR LETTER DDA | MYANMAR VOWEL SIGN U
ရ။,662,U+101B U+104B,MYANMAR LETTER RA | MYANMAR SIGN SECTION
တအ,622,U+1010 U+1021,MYANMAR LETTER TA | MYANMAR LETTER A
ံက,602,U+1036 U+1000,MYANMAR SIGN ANUSVARA | MYANMAR LETTER KA
ာံ,590,U+102C U+1036,MYANMAR VOWEL SIGN AA | MYANMAR SIGN ANUSVARA
မ္,547,U+1019 U+1039,MYANMAR LETTER MA | MYANMAR SIGN VIRAMA
ကၠ,544,U+1000 U+1060,MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MON MEDIAL LA
ာတ,543,U+102C U+1010,MYANMAR VOWEL SIGN AA | MYANMAR LETTER TA
ဂွ,542,U+1002 U+103D,MYANMAR LETTER GA | MYANMAR CONSONANT SIGN MEDIAL WA
်ည,542,U+103A U+100A,MYANMAR SIGN ASAT | MYANMAR LETTER NNYA
လေ,538,U+101C U+1031,MYANMAR LETTER LA | MYANMAR VOWEL SIGN E
ွဲ,535,U+103D U+1032,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR VOWEL SIGN AI
တိ,534,U+1010 U+102D,MYANMAR LETTER TA | MYANMAR VOWEL SIGN I
်ဍ,533,U+103A U+100D,MYANMAR SIGN ASAT | MYANMAR LETTER DDA
ုဟ,520,U+102F U+101F,MYANMAR VOWEL SIGN U | MYANMAR LETTER HA
်စ,511,U+103A U+1005,MYANMAR SIGN ASAT | MYANMAR LETTER CA
ၞာ,506,U+105E U+102C,MYANMAR CONSONANT SIGN MON MEDIAL NA | MYANMAR VOWEL SIGN AA
ဒှ,503,U+1012 U+103E,MYANMAR LETTER DA | MYANMAR CONSONANT SIGN MEDIAL HA
