character,count,codepoints,unicode_names
်,22116,U+103A,MYANMAR SIGN ASAT
ု,9222,U+102F,MYANMAR VOWEL SIGN U
က,8604,U+1000,MYANMAR LETTER KA
ာ,7287,U+102C,MYANMAR VOWEL SIGN AA
တ,6778,U+1010,MYANMAR LETTER TA
ၚ,6005,U+105A,MYANMAR LETTER MON NGA
ေ,5480,U+1031,MYANMAR VOWEL SIGN E
ပ,5476,U+1015,MYANMAR LETTER PA
ိ,5463,U+102D,MYANMAR VOWEL SIGN I
န,5204,U+1014,MYANMAR LETTER NA
မ,4820,U+1019,MYANMAR LETTER MA
ံ,4286,U+1036,MYANMAR SIGN ANUSVARA
ဂ,4164,U+1002,MYANMAR LETTER GA
အ,3814,U+1021,MYANMAR LETTER A
ရ,3392,U+101B,MYANMAR LETTER RA
ဲ,3169,U+1032,MYANMAR VOWEL SIGN AI
ွ,3092,U+103D,MYANMAR CONSONANT SIGN MEDIAL WA
သ,3044,U+101E,MYANMAR LETTER SA
လ,3015,U+101C,MYANMAR LETTER LA
္,2998,U+1039,MYANMAR SIGN VIRAMA
ဒ,2695,U+1012,MYANMAR LETTER DA
ှ,2344,U+103E,MYANMAR CONSONANT SIGN MEDIAL HA
း,2170,U+1038,MYANMAR SIGN VISARGA
ဝ,2130,U+101D,MYANMAR LETTER WA
ဟ,2119,U+101F,MYANMAR LETTER HA
ဍ,1871,U+100D,MYANMAR LETTER DDA
ဗ,1835,U+1017,MYANMAR LETTER BA
ၠ,1682,U+1060,MYANMAR CONSONANT SIGN MON MEDIAL LA
ၞ,1537,U+105E,MYANMAR CONSONANT SIGN MON MEDIAL NA
ဵ,1530,U+1035,MYANMAR VOWEL SIGN E ABOVE
ၟ,1478,U+105F,MYANMAR CONSONANT SIGN MON MEDIAL MA
စ,1471,U+1005,MYANMAR LETTER CA
။,1374,U+104B,MYANMAR SIGN SECTION
ြ,1344,U+103C,MYANMAR CONSONANT SIGN MEDIAL RA
ည,1256,U+100A,MYANMAR LETTER NNYA
ီ,1192,U+102E,MYANMAR VOWEL SIGN II
ူ,1112,U+1030,MYANMAR VOWEL SIGN UU
၊,1042,U+104A,MYANMAR SIGN LITTLE SECTION
ါ,1021,U+102B,MYANMAR VOWEL SIGN TALL AA
ဇ,984,U+1007,MYANMAR LETTER JA
ခ,972,U+1001,MYANMAR LETTER KHA
ျ,916,U+103B,MYANMAR CONSONANT SIGN MEDIAL YA
ယ,683,U+101A,MYANMAR LETTER YA
ဏ,595,U+100F,MYANMAR LETTER NNA
ဳ,595,U+1033,MYANMAR VOWEL SIGN MON II
ၜ,484,U+105C,MYANMAR LETTER MON BBA
ထ,459,U+1011,MYANMAR LETTER THA
ဖ,412,U+1016,MYANMAR LETTER PHA
ဴ,406,U+1034,MYANMAR VOWEL SIGN MON O
ဆ,395,U+1006,MYANMAR LETTER CHA
၁,311,U+1041,MYANMAR DIGIT ONE
၀,309,U+1040,MYANMAR DIGIT ZERO
ဓ,298,U+1013,MYANMAR LETTER DHA
ဘ,277,U+1018,MYANMAR LETTER BHA
၂,237,U+1042,MYANMAR DIGIT TWO
၃,163,U+1043,MYANMAR DIGIT THREE
၄,158,U+1044,MYANMAR DIGIT FOUR
၅,129,U+1045,MYANMAR DIGIT FIVE
ဥ,118,U+1025,MYANMAR LETTER U
၇,114,U+1047,MYANMAR DIGIT SEVEN
၈,95,U+1048,MYANMAR DIGIT EIGHT
၉,78,U+1049,MYANMAR DIGIT NINE
ဌ,73,U+100C,MYANMAR LETTER TTHA
၆,69,U+1046,MYANMAR DIGIT SIX
ဠ,43,U+1020,MYANMAR LETTER LLA
ဃ,40,U+1003,MYANMAR LETTER GHA
ဨ,31,U+1028,MYANMAR LETTER MON E
ဣ,31,U+1023,MYANMAR LETTER I
ဋ,27,U+100B,MYANMAR LETTER TTA
ၝ,25,U+105D,MYANMAR LETTER MON BBE
ဉ,21,U+1009,MYANMAR LETTER NYA
ဿ,16,U+103F,MYANMAR LETTER GREAT SA
့,7,U+1037,MYANMAR SIGN DOT BELOW
ၛ,5,U+105B,MYANMAR LETTER MON JHA
ၑ,4,U+1051,MYANMAR LETTER SSA
ဩ,4,U+1029,MYANMAR LETTER O
ႝ,3,U+109D,MYANMAR VOWEL SIGN AITON AI
ဧ,1,U+1027,MYANMAR LETTER E
ၐ,1,U+1050,MYANMAR LETTER SHA
