trigram,count,codepoints,unicode_names
ုၚ်,1964,U+102F U+105A U+103A,MYANMAR VOWEL SIGN U | MYANMAR LETTER MON NGA | MYANMAR SIGN ASAT
ာန်,1514,U+102C U+1014 U+103A,MYANMAR VOWEL SIGN AA | MYANMAR LETTER NA | MYANMAR SIGN ASAT
ဂှ်,1410,U+1002 U+103E U+103A,MYANMAR LETTER GA | MYANMAR CONSONANT SIGN MEDIAL HA | MYANMAR SIGN ASAT
ံၚ်,1076,U+1036 U+105A U+103A,MYANMAR SIGN ANUSVARA | MYANMAR LETTER MON NGA | MYANMAR SIGN ASAT
ကဵု,1029,U+1000 U+1035 U+102F,MYANMAR LETTER KA | MYANMAR VOWEL SIGN E ABOVE | MYANMAR VOWEL SIGN U
ုတ်,793,U+102F U+1010 U+103A,MYANMAR VOWEL SIGN U | MYANMAR LETTER TA | MYANMAR SIGN ASAT
ေၚ်,764,U+1031 U+105A U+103A,MYANMAR VOWEL SIGN E | MYANMAR LETTER MON NGA | MYANMAR SIGN ASAT
ုပ်,744,U+102F U+1015 U+103A,MYANMAR VOWEL SIGN U | MYANMAR LETTER PA | MYANMAR SIGN ASAT
မန်,737,U+1019 U+1014 U+103A,MYANMAR LETTER MA | MYANMAR LETTER NA | MYANMAR SIGN ASAT
ိုၚ,724,U+102D U+102F U+105A,MYANMAR VOWEL SIGN I | MYANMAR VOWEL SIGN U | MYANMAR LETTER MON NGA
ၚ်က,722,U+105A U+103A U+1000,MYANMAR LETTER MON NGA | MYANMAR SIGN ASAT | MYANMAR LETTER KA
်ဂှ,709,U+103A U+1002 U+103E,MYANMAR SIGN ASAT | MYANMAR LETTER GA | MYANMAR CONSONANT SIGN MEDIAL HA
ပ္ဍ,659,U+1015 U+1039 U+100D,MYANMAR LETTER PA | MYANMAR SIGN VIRAMA | MYANMAR LETTER DDA
တုဲ,658,U+1010 U+102F U+1032,MYANMAR LETTER TA | MYANMAR VOWEL SIGN U | MYANMAR VOWEL SIGN AI
္ဍဲ,658,U+1039 U+100D U+1032,MYANMAR SIGN VIRAMA | MYANMAR LETTER DDA | MYANMAR VOWEL SIGN AI
ဍုၚ,648,U+100D U+102F U+105A,MYANMAR LETTER DDA | MYANMAR VOWEL SIGN U | MYANMAR LETTER MON NGA
တအ်,618,U+1010 U+1021 U+103A,MYANMAR LETTER TA | MYANMAR LETTER A | MYANMAR SIGN ASAT
ိုတ,597,U+102D U+102F U+1010,MYANMAR VOWEL SIGN I | MYANMAR VOWEL SIGN U | MYANMAR LETTER TA
