bigram,count,codepoints,unicode_names
ၚ်,732909,U+105A U+103A,MYANMAR LETTER MON NGA | MYANMAR SIGN ASAT
န်,663830,U+1014 U+103A,MYANMAR LETTER NA | MYANMAR SIGN ASAT
ို,658817,U+102D U+102F,MYANMAR VOWEL SIGN I | MYANMAR VOWEL SIGN U
တ်,534636,U+1010 U+103A,MYANMAR LETTER TA | MYANMAR SIGN ASAT
ော,513265,U+1031 U+102C,MYANMAR VOWEL SIGN E | MYANMAR VOWEL SIGN AA
င်,496151,U+1004 U+103A,MYANMAR LETTER NGA | MYANMAR SIGN ASAT
်က,484044,U+103A U+1000,MYANMAR SIGN ASAT | MYANMAR LETTER KA
ှ်,435855,U+103E U+103A,MYANMAR CONSONANT SIGN MEDIAL HA | MYANMAR SIGN ASAT
က်,393818,U+1000 U+103A,MYANMAR LETTER KA | MYANMAR SIGN ASAT
ဵု,364339,U+1035 U+102F,MYANMAR VOWEL SIGN E ABOVE | MYANMAR VOWEL SIGN U
်တ,350425,U+103A U+1010,MYANMAR SIGN ASAT | MYANMAR LETTER TA
ွံ,343467,U+103D U+1036,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR SIGN ANUSVARA
်ဂ,332525,U+103A U+1002,MYANMAR SIGN ASAT | MYANMAR LETTER GA
ာန,332118,U+102C U+1014,MYANMAR VOWEL SIGN AA | MYANMAR LETTER NA
်မ,331601,U+103A U+1019,MYANMAR SIGN ASAT | MYANMAR LETTER MA
်ပ,325890,U+103A U+1015,MYANMAR SIGN ASAT | MYANMAR LETTER PA
ဝ်,322407,U+101D U+103A,MYANMAR LETTER WA | MYANMAR SIGN ASAT
်သ,274909,U+103A U+101E,MYANMAR SIGN ASAT | MYANMAR LETTER SA
ုၚ,271545,U+102F U+105A,MYANMAR VOWEL SIGN U | MYANMAR LETTER MON NGA
ဂှ,253037,U+1002 U+103E,MYANMAR LETTER GA | MYANMAR CONSONANT SIGN MEDIAL HA
ပ်,252345,U+1015 U+103A,MYANMAR LETTER PA | MYANMAR SIGN ASAT
ုင,239811,U+102F U+1004,MYANMAR VOWEL SIGN U | MYANMAR LETTER NGA
်ရ,230926,U+103A U+101B,MYANMAR SIGN ASAT | MYANMAR LETTER RA
ုတ,227624,U+102F U+1010,MYANMAR VOWEL SIGN U | MYANMAR LETTER TA
%8,221768,U+0025 U+0038,PERCENT SIGN | DIGIT EIGHT
ကဵ,221757,U+1000 U+1035,MYANMAR LETTER KA | MYANMAR VOWEL SIGN E ABOVE
ာ်,218407,U+102C U+103A,MYANMAR VOWEL SIGN AA | MYANMAR SIGN ASAT
ကေ,214746,U+1000 U+1031,MYANMAR LETTER KA | MYANMAR VOWEL SIGN E
1%,211747,U+0031 U+0025,DIGIT ONE | PERCENT SIGN
်လ,211530,U+103A U+101C,MYANMAR SIGN ASAT | MYANMAR LETTER LA
ဟ်,207516,U+101F U+103A,MYANMAR LETTER HA | MYANMAR SIGN ASAT
်အ,203277,U+103A U+1021,MYANMAR SIGN ASAT | MYANMAR LETTER A
0%,196136,U+0030 U+0025,DIGIT ZERO | PERCENT SIGN
80,187824,U+0038 U+0030,DIGIT EIGHT | DIGIT ZERO
ုဲ,186059,U+102F U+1032,MYANMAR VOWEL SIGN U | MYANMAR VOWEL SIGN AI
ီု,183462,U+102E U+102F,MYANMAR VOWEL SIGN II | MYANMAR VOWEL SIGN U
ာံ,182883,U+102C U+1036,MYANMAR VOWEL SIGN AA | MYANMAR SIGN ANUSVARA
ဍု,180063,U+100D U+102F,MYANMAR LETTER DDA | MYANMAR VOWEL SIGN U
ပ္,177619,U+1015 U+1039,MYANMAR LETTER PA | MYANMAR SIGN VIRAMA
်ဒ,173749,U+103A U+1012,MYANMAR SIGN ASAT | MYANMAR LETTER DA
တု,169746,U+1010 U+102F,MYANMAR LETTER TA | MYANMAR VOWEL SIGN U
ုက,167844,U+102F U+1000,MYANMAR VOWEL SIGN U | MYANMAR LETTER KA
ုပ,165327,U+102F U+1015,MYANMAR VOWEL SIGN U | MYANMAR LETTER PA
္ဍ,164914,U+1039 U+100D,MYANMAR SIGN VIRAMA | MYANMAR LETTER DDA
ံက,150279,U+1036 U+1000,MYANMAR SIGN ANUSVARA | MYANMAR LETTER KA
ရေ,147025,U+101B U+1031,MYANMAR LETTER RA | MYANMAR VOWEL SIGN E
်ဗ,141927,U+103A U+1017,MYANMAR SIGN ASAT | MYANMAR LETTER BA
ကၠ,137446,U+1000 U+1060,MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MON MEDIAL LA
အ်,133249,U+1021 U+103A,MYANMAR LETTER A | MYANMAR SIGN ASAT
ရ။,130060,U+101B U+104B,MYANMAR LETTER RA | MYANMAR SIGN SECTION
်ဍ,128392,U+103A U+100D,MYANMAR SIGN ASAT | MYANMAR LETTER DDA
တိ,125997,U+1010 U+102D,MYANMAR LETTER TA | MYANMAR VOWEL SIGN I
ံၚ,125982,U+1036 U+105A,MYANMAR SIGN ANUSVARA | MYANMAR LETTER MON NGA
ဍဲ,125309,U+100D U+1032,MYANMAR LETTER DDA | MYANMAR VOWEL SIGN AI
ဒှ,124982,U+1012 U+103E,MYANMAR LETTER DA | MYANMAR CONSONANT SIGN MEDIAL HA
ွဲ,124092,U+103D U+1032,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR VOWEL SIGN AI
်န,121056,U+103A U+1014,MYANMAR SIGN ASAT | MYANMAR LETTER NA
်စ,120865,U+103A U+1005,MYANMAR SIGN ASAT | MYANMAR LETTER CA
ာတ,120583,U+102C U+1010,MYANMAR VOWEL SIGN AA | MYANMAR LETTER TA
်(,119545,U+103A U+0028,MYANMAR SIGN ASAT | LEFT PARENTHESIS
်၊,118002,U+103A U+104A,MYANMAR SIGN ASAT | MYANMAR SIGN LITTLE SECTION
လေ,113360,U+101C U+1031,MYANMAR LETTER LA | MYANMAR VOWEL SIGN E
ာဲ,110393,U+102C U+1032,MYANMAR VOWEL SIGN AA | MYANMAR VOWEL SIGN AI
%E,109939,U+0025 U+0045,PERCENT SIGN | LATIN CAPITAL LETTER E
E1,109815,U+0045 U+0031,LATIN CAPITAL LETTER E | DIGIT ONE
ိက,109322,U+102D U+1000,MYANMAR VOWEL SIGN I | MYANMAR LETTER KA
ေၚ,109062,U+1031 U+105A,MYANMAR VOWEL SIGN E | MYANMAR LETTER MON NGA
အာ,106634,U+1021 U+102C,MYANMAR LETTER A | MYANMAR VOWEL SIGN AA
သ္,106413,U+101E U+1039,MYANMAR LETTER SA | MYANMAR SIGN VIRAMA
မ္,105777,U+1019 U+1039,MYANMAR LETTER MA | MYANMAR SIGN VIRAMA
ဂွ,103970,U+1002 U+103D,MYANMAR LETTER GA | MYANMAR CONSONANT SIGN MEDIAL WA
္ဂ,101413,U+1039 U+1002,MYANMAR SIGN VIRAMA | MYANMAR LETTER GA
ုန,101328,U+102F U+1014,MYANMAR VOWEL SIGN U | MYANMAR LETTER NA
ုဟ,100291,U+102F U+101F,MYANMAR VOWEL SIGN U | MYANMAR LETTER HA
ညး,92790,U+100A U+1038,MYANMAR LETTER NNYA | MYANMAR SIGN VISARGA
္တ,92415,U+1039 U+1010,MYANMAR SIGN VIRAMA | MYANMAR LETTER TA
မွ,92169,U+1019 U+103D,MYANMAR LETTER MA | MYANMAR CONSONANT SIGN MEDIAL WA
ေဝ,91724,U+1031 U+101D,MYANMAR VOWEL SIGN E | MYANMAR LETTER WA
ဟွ,91236,U+101F U+103D,MYANMAR LETTER HA | MYANMAR CONSONANT SIGN MEDIAL WA
ဲက,91012,U+1032 U+1000,MYANMAR VOWEL SIGN AI | MYANMAR LETTER KA
္ၚ,89811,U+1039 U+105A,MYANMAR SIGN VIRAMA | MYANMAR LETTER MON NGA
ၠိ,89071,U+1060 U+102D,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN I
