character,count,codepoints,unicode_names
်,4598193,U+103A,MYANMAR SIGN ASAT
ု,2142771,U+102F,MYANMAR VOWEL SIGN U
က,1793535,U+1000,MYANMAR LETTER KA
ာ,1707340,U+102C,MYANMAR VOWEL SIGN AA
တ,1559680,U+1010,MYANMAR LETTER TA
ေ,1272310,U+1031,MYANMAR VOWEL SIGN E
ိ,1194768,U+102D,MYANMAR VOWEL SIGN I
ပ,1158020,U+1015,MYANMAR LETTER PA
မ,1069909,U+1019,MYANMAR LETTER MA
ံ,1059393,U+1036,MYANMAR SIGN ANUSVARA
န,1015710,U+1014,MYANMAR LETTER NA
ဂ,891274,U+1002,MYANMAR LETTER GA
ၚ,837946,U+105A,MYANMAR LETTER MON NGA
သ,777922,U+101E,MYANMAR LETTER SA
ရ,775587,U+101B,MYANMAR LETTER RA
ွ,736793,U+103D,MYANMAR CONSONANT SIGN MEDIAL WA
္,735939,U+1039,MYANMAR SIGN VIRAMA
ဲ,726090,U+1032,MYANMAR VOWEL SIGN AI
လ,668415,U+101C,MYANMAR LETTER LA
အ,662858,U+1021,MYANMAR LETTER A
ဒ,588322,U+1012,MYANMAR LETTER DA
e,574170,U+0065,LATIN SMALL LETTER E
%,567117,U+0025,PERCENT SIGN
ဝ,537387,U+101D,MYANMAR LETTER WA
ှ,516845,U+103E,MYANMAR CONSONANT SIGN MEDIAL HA
င,501263,U+1004,MYANMAR LETTER NGA
ဟ,455024,U+101F,MYANMAR LETTER HA
း,444502,U+1038,MYANMAR SIGN VISARGA
ဍ,435227,U+100D,MYANMAR LETTER DDA
a,407149,U+0061,LATIN SMALL LETTER A
n,384685,U+006E,LATIN SMALL LETTER N
ၠ,384259,U+1060,MYANMAR CONSONANT SIGN MON MEDIAL LA
t,379598,U+0074,LATIN SMALL LETTER T
i,366904,U+0069,LATIN SMALL LETTER I
ဵ,364691,U+1035,MYANMAR VOWEL SIGN E ABOVE
o,363039,U+006F,LATIN SMALL LETTER O
စ,354421,U+1005,MYANMAR LETTER CA
ဗ,341812,U+1017,MYANMAR LETTER BA
၊,337372,U+104A,MYANMAR SIGN LITTLE SECTION
။,322139,U+104B,MYANMAR SIGN SECTION
ၞ,319021,U+105E,MYANMAR CONSONANT SIGN MON MEDIAL NA
r,296641,U+0072,LATIN SMALL LETTER R
ြ,292018,U+103C,MYANMAR CONSONANT SIGN MEDIAL RA
),288753,U+0029,RIGHT PARENTHESIS
(,287150,U+0028,LEFT PARENTHESIS
ၟ,272739,U+105F,MYANMAR CONSONANT SIGN MON MEDIAL MA
s,256976,U+0073,LATIN SMALL LETTER S
ီ,243504,U+102E,MYANMAR VOWEL SIGN II
ခ,239819,U+1001,MYANMAR LETTER KHA
1,237304,U+0031,DIGIT ONE
8,231700,U+0038,DIGIT EIGHT
ဳ,226593,U+1033,MYANMAR VOWEL SIGN MON II
ဇ,221420,U+1007,MYANMAR LETTER JA
0,219918,U+0030,DIGIT ZERO
ါ,215119,U+102B,MYANMAR VOWEL SIGN TALL AA
.,208070,U+002E,FULL STOP
ည,206259,U+100A,MYANMAR LETTER NNYA
ျ,205494,U+103B,MYANMAR CONSONANT SIGN MEDIAL YA
ူ,195551,U+1030,MYANMAR VOWEL SIGN UU
d,191218,U+0064,LATIN SMALL LETTER D
l,187684,U+006C,LATIN SMALL LETTER L
ယ,179631,U+101A,MYANMAR LETTER YA
h,157385,U+0068,LATIN SMALL LETTER H
c,147463,U+0063,LATIN SMALL LETTER C
ဴ,142471,U+1034,MYANMAR VOWEL SIGN MON O
ထ,131869,U+1011,MYANMAR LETTER THA
u,124903,U+0075,LATIN SMALL LETTER U
E,123954,U+0045,LATIN CAPITAL LETTER E
ဏ,121768,U+100F,MYANMAR LETTER NNA
p,117515,U+0070,LATIN SMALL LETTER P
m,117420,U+006D,LATIN SMALL LETTER M
g,101233,U+0067,LATIN SMALL LETTER G
f,100288,U+0066,LATIN SMALL LETTER F
v,98672,U+0076,LATIN SMALL LETTER V
ဆ,96783,U+1006,MYANMAR LETTER CHA
b,95602,U+0062,LATIN SMALL LETTER B
ဓ,94382,U+1013,MYANMAR LETTER DHA
ဘ,93964,U+1018,MYANMAR LETTER BHA
ၜ,93832,U+105C,MYANMAR LETTER MON BBA
ဖ,87559,U+1016,MYANMAR LETTER PHA
",",81717,U+002C,COMMA
9,81493,U+0039,DIGIT NINE
y,73099,U+0079,LATIN SMALL LETTER Y
w,73012,U+0077,LATIN SMALL LETTER W
A,68152,U+0041,LATIN CAPITAL LETTER A
၁,57476,U+1041,MYANMAR DIGIT ONE
-,56389,U+002D,HYPHEN-MINUS
၂,56106,U+1042,MYANMAR DIGIT TWO
k,51012,U+006B,LATIN SMALL LETTER K
/,50551,U+002F,SOLIDUS
၀,48162,U+1040,MYANMAR DIGIT ZERO
B,45955,U+0042,LATIN CAPITAL LETTER B
C,40570,U+0043,LATIN CAPITAL LETTER C
],40209,U+005D,RIGHT SQUARE BRACKET
[,40165,U+005B,LEFT SQUARE BRACKET
2,36096,U+0032,DIGIT TWO
