bigram,count,codepoints,unicode_names
ၚ်,388361,U+105A U+103A,MYANMAR LETTER MON NGA | MYANMAR SIGN ASAT
န်,232705,U+1014 U+103A,MYANMAR LETTER NA | MYANMAR SIGN ASAT
ို,178331,U+102D U+102F,MYANMAR VOWEL SIGN I | MYANMAR VOWEL SIGN U
ော,178241,U+1031 U+102C,MYANMAR VOWEL SIGN E | MYANMAR VOWEL SIGN AA
ုၚ,155018,U+102F U+105A,MYANMAR VOWEL SIGN U | MYANMAR LETTER MON NGA
်က,154084,U+103A U+1000,MYANMAR SIGN ASAT | MYANMAR LETTER KA
ှ်,140804,U+103E U+103A,MYANMAR CONSONANT SIGN MEDIAL HA | MYANMAR SIGN ASAT
တ်,135469,U+1010 U+103A,MYANMAR LETTER TA | MYANMAR SIGN ASAT
်တ,126063,U+103A U+1010,MYANMAR SIGN ASAT | MYANMAR LETTER TA
ာန,123377,U+102C U+1014,MYANMAR VOWEL SIGN AA | MYANMAR LETTER NA
ဵု,123359,U+1035 U+102F,MYANMAR VOWEL SIGN E ABOVE | MYANMAR VOWEL SIGN U
်ဂ,120922,U+103A U+1002,MYANMAR SIGN ASAT | MYANMAR LETTER GA
်ပ,113780,U+103A U+1015,MYANMAR SIGN ASAT | MYANMAR LETTER PA
က်,111686,U+1000 U+103A,MYANMAR LETTER KA | MYANMAR SIGN ASAT
ွံ,105244,U+103D U+1036,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR SIGN ANUSVARA
ဂှ,103342,U+1002 U+103E,MYANMAR LETTER GA | MYANMAR CONSONANT SIGN MEDIAL HA
ဝ်,103236,U+101D U+103A,MYANMAR LETTER WA | MYANMAR SIGN ASAT
်မ,94348,U+103A U+1019,MYANMAR SIGN ASAT | MYANMAR LETTER MA
ပ်,83125,U+1015 U+103A,MYANMAR LETTER PA | MYANMAR SIGN ASAT
်သ,74839,U+103A U+101E,MYANMAR SIGN ASAT | MYANMAR LETTER SA
ုဲ,73652,U+102F U+1032,MYANMAR VOWEL SIGN U | MYANMAR VOWEL SIGN AI
ံၚ,71357,U+1036 U+105A,MYANMAR SIGN ANUSVARA | MYANMAR LETTER MON NGA
်လ,71067,U+103A U+101C,MYANMAR SIGN ASAT | MYANMAR LETTER LA
ကဵ,70899,U+1000 U+1035,MYANMAR LETTER KA | MYANMAR VOWEL SIGN E ABOVE
ကေ,70025,U+1000 U+1031,MYANMAR LETTER KA | MYANMAR VOWEL SIGN E
ီု,69795,U+102E U+102F,MYANMAR VOWEL SIGN II | MYANMAR VOWEL SIGN U
်ရ,69736,U+103A U+101B,MYANMAR SIGN ASAT | MYANMAR LETTER RA
်အ,69697,U+103A U+1021,MYANMAR SIGN ASAT | MYANMAR LETTER A
ာ်,64403,U+102C U+103A,MYANMAR VOWEL SIGN AA | MYANMAR SIGN ASAT
ရေ,63100,U+101B U+1031,MYANMAR LETTER RA | MYANMAR VOWEL SIGN E
ေၚ,59818,U+1031 U+105A,MYANMAR VOWEL SIGN E | MYANMAR LETTER MON NGA
တု,58609,U+1010 U+102F,MYANMAR LETTER TA | MYANMAR VOWEL SIGN U
ကၠ,58099,U+1000 U+1060,MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MON MEDIAL LA
ုတ,57933,U+102F U+1010,MYANMAR VOWEL SIGN U | MYANMAR LETTER TA
ုပ,57291,U+102F U+1015,MYANMAR VOWEL SIGN U | MYANMAR LETTER PA
ဟ်,56123,U+101F U+103A,MYANMAR LETTER HA | MYANMAR SIGN ASAT
ာံ,54668,U+102C U+1036,MYANMAR VOWEL SIGN AA | MYANMAR SIGN ANUSVARA
်ဒ,54581,U+103A U+1012,MYANMAR SIGN ASAT | MYANMAR LETTER DA
ဍု,54263,U+100D U+102F,MYANMAR LETTER DDA | MYANMAR VOWEL SIGN U
ပ္,50814,U+1015 U+1039,MYANMAR LETTER PA | MYANMAR SIGN VIRAMA
ရ။,49189,U+101B U+104B,MYANMAR LETTER RA | MYANMAR SIGN SECTION
္ဍ,46213,U+1039 U+100D,MYANMAR SIGN VIRAMA | MYANMAR LETTER DDA
တံ,45174,U+1010 U+1036,MYANMAR LETTER TA | MYANMAR SIGN ANUSVARA
ံက,45025,U+1036 U+1000,MYANMAR SIGN ANUSVARA | MYANMAR LETTER KA
ုက,44732,U+102F U+1000,MYANMAR VOWEL SIGN U | MYANMAR LETTER KA
်ဗ,43615,U+103A U+1017,MYANMAR SIGN ASAT | MYANMAR LETTER BA
်ဍ,43541,U+103A U+100D,MYANMAR SIGN ASAT | MYANMAR LETTER DDA
ာၚ,41492,U+102C U+105A,MYANMAR VOWEL SIGN AA | MYANMAR LETTER MON NGA
ဂွ,41386,U+1002 U+103D,MYANMAR LETTER GA | MYANMAR CONSONANT SIGN MEDIAL WA
ညး,41027,U+100A U+1038,MYANMAR LETTER NNYA | MYANMAR SIGN VISARGA
်န,39971,U+103A U+1014,MYANMAR SIGN ASAT | MYANMAR LETTER NA
တိ,39596,U+1010 U+102D,MYANMAR LETTER TA | MYANMAR VOWEL SIGN I
လေ,37678,U+101C U+1031,MYANMAR LETTER LA | MYANMAR VOWEL SIGN E
ပရ,37212,U+1015 U+101B,MYANMAR LETTER PA | MYANMAR LETTER RA
ဍဲ,36884,U+100D U+1032,MYANMAR LETTER DDA | MYANMAR VOWEL SIGN AI
မန,36820,U+1019 U+1014,MYANMAR LETTER MA | MYANMAR LETTER NA
ာဲ,36812,U+102C U+1032,MYANMAR VOWEL SIGN AA | MYANMAR VOWEL SIGN AI
ွဲ,36629,U+103D U+1032,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR VOWEL SIGN AI
်စ,36584,U+103A U+1005,MYANMAR SIGN ASAT | MYANMAR LETTER CA
ဂက,35733,U+1002 U+1000,MYANMAR LETTER GA | MYANMAR LETTER KA
ေဝ,35154,U+1031 U+101D,MYANMAR VOWEL SIGN E | MYANMAR LETTER WA
ေံ,34589,U+1031 U+1036,MYANMAR VOWEL SIGN E | MYANMAR SIGN ANUSVARA
အ်,33505,U+1021 U+103A,MYANMAR LETTER A | MYANMAR SIGN ASAT
်ဟ,33107,U+103A U+101F,MYANMAR SIGN ASAT | MYANMAR LETTER HA
ံဂ,32838,U+1036 U+1002,MYANMAR SIGN ANUSVARA | MYANMAR LETTER GA
ာတ,32475,U+102C U+1010,MYANMAR VOWEL SIGN AA | MYANMAR LETTER TA
ဲက,30953,U+1032 U+1000,MYANMAR VOWEL SIGN AI | MYANMAR LETTER KA
မွ,30543,U+1019 U+103D,MYANMAR LETTER MA | MYANMAR CONSONANT SIGN MEDIAL WA
အာ,30228,U+1021 U+102C,MYANMAR LETTER A | MYANMAR VOWEL SIGN AA
ုဟ,30095,U+102F U+101F,MYANMAR VOWEL SIGN U | MYANMAR LETTER HA
ၞာ,29791,U+105E U+102C,MYANMAR CONSONANT SIGN MON MEDIAL NA | MYANMAR VOWEL SIGN AA
လဝ,29544,U+101C U+101D,MYANMAR LETTER LA | MYANMAR LETTER WA
ဟွ,29427,U+101F U+103D,MYANMAR LETTER HA | MYANMAR CONSONANT SIGN MEDIAL WA
ကွ,28758,U+1000 U+103D,MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MEDIAL WA
ဒှ,27953,U+1012 U+103E,MYANMAR LETTER DA | MYANMAR CONSONANT SIGN MEDIAL HA
ၠု,27878,U+1060 U+102F,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN U
မာ,26858,U+1019 U+102C,MYANMAR LETTER MA | MYANMAR VOWEL SIGN AA
သ္,26474,U+101E U+1039,MYANMAR LETTER SA | MYANMAR SIGN VIRAMA
မံ,26446,U+1019 U+1036,MYANMAR LETTER MA | MYANMAR SIGN ANUSVARA
မ္,26142,U+1019 U+1039,MYANMAR LETTER MA | MYANMAR SIGN VIRAMA
ၠေ,26089,U+1060 U+1031,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN E
်၊,25810,U+103A U+104A,MYANMAR SIGN ASAT | MYANMAR SIGN LITTLE SECTION
ိက,25574,U+102D U+1000,MYANMAR VOWEL SIGN I | MYANMAR LETTER KA
်ည,25313,U+103A U+100A,MYANMAR SIGN ASAT | MYANMAR LETTER NNYA
နူ,25242,U+1014 U+1030,MYANMAR LETTER NA | MYANMAR VOWEL SIGN UU
ံတ,25092,U+1036 U+1010,MYANMAR SIGN ANUSVARA | MYANMAR LETTER TA
္တ,24814,U+1039 U+1010,MYANMAR SIGN VIRAMA | MYANMAR LETTER TA
ုန,24648,U+102F U+1014,MYANMAR VOWEL SIGN U | MYANMAR LETTER NA
ဏံ,24551,U+100F U+1036,MYANMAR LETTER NNA | MYANMAR SIGN ANUSVARA
ွာ,23338,U+103D U+102C,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR VOWEL SIGN AA
ှေ,23067,U+103E U+1031,MYANMAR CONSONANT SIGN MEDIAL HA | MYANMAR VOWEL SIGN E
ံမ,22842,U+1036 U+1019,MYANMAR SIGN ANUSVARA | MYANMAR LETTER MA
္ဂ,22827,U+1039 U+1002,MYANMAR SIGN VIRAMA | MYANMAR LETTER GA
္ၚ,22724,U+1039 U+105A,MYANMAR SIGN VIRAMA | MYANMAR LETTER MON NGA
ုရ,22675,U+102F U+101B,MYANMAR VOWEL SIGN U | MYANMAR LETTER RA
ဒး,22641,U+1012 U+1038,MYANMAR LETTER DA | MYANMAR SIGN VISARGA
ဂး,22521,U+1002 U+1038,MYANMAR LETTER GA | MYANMAR SIGN VISARGA
ကီ,22291,U+1000 U+102E,MYANMAR LETTER KA | MYANMAR VOWEL SIGN II
်ဇ,22053,U+103A U+1007,MYANMAR SIGN ASAT | MYANMAR LETTER JA
်ဏ,21775,U+103A U+100F,MYANMAR SIGN ASAT | MYANMAR LETTER NNA
ုအ,21387,U+102F U+1021,MYANMAR VOWEL SIGN U | MYANMAR LETTER A
ုဂ,21329,U+102F U+1002,MYANMAR VOWEL SIGN U | MYANMAR LETTER GA
ဲတ,21141,U+1032 U+1010,MYANMAR VOWEL SIGN AI | MYANMAR LETTER TA
ိတ,21122,U+102D U+1010,MYANMAR VOWEL SIGN I | MYANMAR LETTER TA
သွ,21115,U+101E U+103D,MYANMAR LETTER SA | MYANMAR CONSONANT SIGN MEDIAL WA
ပိ,21041,U+1015 U+102D,MYANMAR LETTER PA | MYANMAR VOWEL SIGN I
ေတ,21036,U+1031 U+1010,MYANMAR VOWEL SIGN E | MYANMAR LETTER TA
သာ,20877,U+101E U+102C,MYANMAR LETTER SA | MYANMAR VOWEL SIGN AA
ၞေ,20690,U+105E U+1031,MYANMAR CONSONANT SIGN MON MEDIAL NA | MYANMAR VOWEL SIGN E
ံပ,20342,U+1036 U+1015,MYANMAR SIGN ANUSVARA | MYANMAR LETTER PA
ကူ,20083,U+1000 U+1030,MYANMAR LETTER KA | MYANMAR VOWEL SIGN UU
ၟိ,19969,U+105F U+102D,MYANMAR CONSONANT SIGN MON MEDIAL MA | MYANMAR VOWEL SIGN I
ဲမ,19820,U+1032 U+1019,MYANMAR VOWEL SIGN AI | MYANMAR LETTER MA
်ထ,19713,U+103A U+1011,MYANMAR SIGN ASAT | MYANMAR LETTER THA
ဟီ,19465,U+101F U+102E,MYANMAR LETTER HA | MYANMAR VOWEL SIGN II
တအ,19281,U+1010 U+1021,MYANMAR LETTER TA | MYANMAR LETTER A
တေ,19085,U+1010 U+1031,MYANMAR LETTER TA | MYANMAR VOWEL SIGN E
ေ်,18757,U+1031 U+103A,MYANMAR VOWEL SIGN E | MYANMAR SIGN ASAT
လိ,18704,U+101C U+102D,MYANMAR LETTER LA | MYANMAR VOWEL SIGN I
ဗေ,18174,U+1017 U+1031,MYANMAR LETTER BA | MYANMAR VOWEL SIGN E
သၞ,18085,U+101E U+105E,MYANMAR LETTER SA | MYANMAR CONSONANT SIGN MON MEDIAL NA
နွ,18049,U+1014 U+103D,MYANMAR LETTER NA | MYANMAR CONSONANT SIGN MEDIAL WA
ၠိ,18046,U+1060 U+102D,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN I
်ဝ,18030,U+103A U+101D,MYANMAR SIGN ASAT | MYANMAR LETTER WA
ိၚ,17602,U+102D U+105A,MYANMAR VOWEL SIGN I | MYANMAR LETTER MON NGA
ံရ,17389,U+1036 U+101B,MYANMAR SIGN ANUSVARA | MYANMAR LETTER RA
းတ,17236,U+1038 U+1010,MYANMAR SIGN VISARGA | MYANMAR LETTER TA
သၟ,17150,U+101E U+105F,MYANMAR LETTER SA | MYANMAR CONSONANT SIGN MON MEDIAL MA
ံသ,17103,U+1036 U+101E,MYANMAR SIGN ANUSVARA | MYANMAR LETTER SA
က္,17040,U+1000 U+1039,MYANMAR LETTER KA | MYANMAR SIGN VIRAMA
ုလ,16747,U+102F U+101C,MYANMAR VOWEL SIGN U | MYANMAR LETTER LA
ၟာ,16622,U+105F U+102C,MYANMAR CONSONANT SIGN MON MEDIAL MA | MYANMAR VOWEL SIGN AA
ဂၠ,16508,U+1002 U+1060,MYANMAR LETTER GA | MYANMAR CONSONANT SIGN MON MEDIAL LA
ဲပ,16349,U+1032 U+1015,MYANMAR VOWEL SIGN AI | MYANMAR LETTER PA
နာ,16280,U+1014 U+102C,MYANMAR LETTER NA | MYANMAR VOWEL SIGN AA
ဲသ,16085,U+1032 U+101E,MYANMAR VOWEL SIGN AI | MYANMAR LETTER SA
ဲဂ,15955,U+1032 U+1002,MYANMAR VOWEL SIGN AI | MYANMAR LETTER GA
အလ,15781,U+1021 U+101C,MYANMAR LETTER A | MYANMAR LETTER LA
သဳ,15711,U+101E U+1033,MYANMAR LETTER SA | MYANMAR VOWEL SIGN MON II
လ္,15692,U+101C U+1039,MYANMAR LETTER LA | MYANMAR SIGN VIRAMA
ရာ,15662,U+101B U+102C,MYANMAR LETTER RA | MYANMAR VOWEL SIGN AA
အခ,15653,U+1021 U+1001,MYANMAR LETTER A | MYANMAR LETTER KHA
စိ,15386,U+1005 U+102D,MYANMAR LETTER CA | MYANMAR VOWEL SIGN I
ေါ,15310,U+1031 U+102B,MYANMAR VOWEL SIGN E | MYANMAR VOWEL SIGN TALL AA
တှ,15260,U+1010 U+103E,MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MEDIAL HA
ပေ,15251,U+1015 U+1031,MYANMAR LETTER PA | MYANMAR VOWEL SIGN E
္က,15154,U+1039 U+1000,MYANMAR SIGN VIRAMA | MYANMAR LETTER KA
ပြ,15095,U+1015 U+103C,MYANMAR LETTER PA | MYANMAR CONSONANT SIGN MEDIAL RA
်ခ,15065,U+103A U+1001,MYANMAR SIGN ASAT | MYANMAR LETTER KHA
းက,14894,U+1038 U+1000,MYANMAR SIGN VISARGA | MYANMAR LETTER KA
ံဒ,14768,U+1036 U+1012,MYANMAR SIGN ANUSVARA | MYANMAR LETTER DA
ွက,14754,U+103D U+1000,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR LETTER KA
ာပ,14598,U+102C U+1015,MYANMAR VOWEL SIGN AA | MYANMAR LETTER PA
တၠ,14576,U+1010 U+1060,MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MON MEDIAL LA
လု,14448,U+101C U+102F,MYANMAR LETTER LA | MYANMAR VOWEL SIGN U
ာက,14359,U+102C U+1000,MYANMAR VOWEL SIGN AA | MYANMAR LETTER KA
အရ,14301,U+1021 U+101B,MYANMAR LETTER A | MYANMAR LETTER RA
ံလ,14228,U+1036 U+101C,MYANMAR SIGN ANUSVARA | MYANMAR LETTER LA
ုဒ,14145,U+102F U+1012,MYANMAR VOWEL SIGN U | MYANMAR LETTER DA
ရု,14096,U+101B U+102F,MYANMAR LETTER RA | MYANMAR VOWEL SIGN U
ဇၞ,13944,U+1007 U+105E,MYANMAR LETTER JA | MYANMAR CONSONANT SIGN MON MEDIAL NA
္ပ,13774,U+1039 U+1015,MYANMAR SIGN VIRAMA | MYANMAR LETTER PA
မၠ,13733,U+1019 U+1060,MYANMAR LETTER MA | MYANMAR CONSONANT SIGN MON MEDIAL LA
ပၞ,13629,U+1015 U+105E,MYANMAR LETTER PA | MYANMAR CONSONANT SIGN MON MEDIAL NA
ဲအ,13334,U+1032 U+1021,MYANMAR VOWEL SIGN AI | MYANMAR LETTER A
လဵ,13163,U+101C U+1035,MYANMAR LETTER LA | MYANMAR VOWEL SIGN E ABOVE
ၟံ,13043,U+105F U+1036,MYANMAR CONSONANT SIGN MON MEDIAL MA | MYANMAR SIGN ANUSVARA
ဒေ,12904,U+1012 U+1031,MYANMAR LETTER DA | MYANMAR VOWEL SIGN E
ကာ,12845,U+1000 U+102C,MYANMAR LETTER KA | MYANMAR VOWEL SIGN AA
ချ,12547,U+1001 U+103B,MYANMAR LETTER KHA | MYANMAR CONSONANT SIGN MEDIAL YA
ိဟ,12482,U+102D U+101F,MYANMAR VOWEL SIGN I | MYANMAR LETTER HA
ုမ,12407,U+102F U+1019,MYANMAR VOWEL SIGN U | MYANMAR LETTER MA
ရိ,12240,U+101B U+102D,MYANMAR LETTER RA | MYANMAR VOWEL SIGN I
ကု,12191,U+1000 U+102F,MYANMAR LETTER KA | MYANMAR VOWEL SIGN U
