character,count,codepoints,unicode_names
်,1395324,U+103A,MYANMAR SIGN ASAT
ု,637827,U+102F,MYANMAR VOWEL SIGN U
က,525504,U+1000,MYANMAR LETTER KA
ာ,488809,U+102C,MYANMAR VOWEL SIGN AA
တ,463399,U+1010,MYANMAR LETTER TA
ေ,421951,U+1031,MYANMAR VOWEL SIGN E
ၚ,416197,U+105A,MYANMAR LETTER MON NGA
ံ,372897,U+1036,MYANMAR SIGN ANUSVARA
ပ,344245,U+1015,MYANMAR LETTER PA
န,322810,U+1014,MYANMAR LETTER NA
ိ,295602,U+102D,MYANMAR VOWEL SIGN I
ဂ,279186,U+1002,MYANMAR LETTER GA
မ,256477,U+1019,MYANMAR LETTER MA
ရ,233763,U+101B,MYANMAR LETTER RA
ဲ,232508,U+1032,MYANMAR VOWEL SIGN AI
ွ,220387,U+103D,MYANMAR CONSONANT SIGN MEDIAL WA
လ,201165,U+101C,MYANMAR LETTER LA
အ,195056,U+1021,MYANMAR LETTER A
သ,192607,U+101E,MYANMAR LETTER SA
္,184851,U+1039,MYANMAR SIGN VIRAMA
ှ,173601,U+103E,MYANMAR CONSONANT SIGN MEDIAL HA
ဒ,148014,U+1012,MYANMAR LETTER DA
း,144672,U+1038,MYANMAR SIGN VISARGA
ဝ,143832,U+101D,MYANMAR LETTER WA
ဟ,133286,U+101F,MYANMAR LETTER HA
ၠ,126244,U+1060,MYANMAR CONSONANT SIGN MON MEDIAL LA
ဵ,123517,U+1035,MYANMAR VOWEL SIGN E ABOVE
ဍ,123123,U+100D,MYANMAR LETTER DDA
စ,95180,U+1005,MYANMAR LETTER CA
ဗ,94629,U+1017,MYANMAR LETTER BA
ီ,87898,U+102E,MYANMAR VOWEL SIGN II
ၞ,84492,U+105E,MYANMAR CONSONANT SIGN MON MEDIAL NA
ၟ,82812,U+105F,MYANMAR CONSONANT SIGN MON MEDIAL MA
ူ,69916,U+1030,MYANMAR VOWEL SIGN UU
ည,69781,U+100A,MYANMAR LETTER NNYA
။,63723,U+104B,MYANMAR SIGN SECTION
ဳ,63606,U+1033,MYANMAR VOWEL SIGN MON II
ြ,59438,U+103C,MYANMAR CONSONANT SIGN MEDIAL RA
၊,58813,U+104A,MYANMAR SIGN LITTLE SECTION
ါ,55782,U+102B,MYANMAR VOWEL SIGN TALL AA
ဏ,53102,U+100F,MYANMAR LETTER NNA
ဇ,52696,U+1007,MYANMAR LETTER JA
ခ,50335,U+1001,MYANMAR LETTER KHA
ျ,47472,U+103B,MYANMAR CONSONANT SIGN MEDIAL YA
ထ,35257,U+1011,MYANMAR LETTER THA
ဆ,32465,U+1006,MYANMAR LETTER CHA
ယ,32162,U+101A,MYANMAR LETTER YA
ၜ,29002,U+105C,MYANMAR LETTER MON BBA
ဖ,24180,U+1016,MYANMAR LETTER PHA
၀,21903,U+1040,MYANMAR DIGIT ZERO
ဓ,21475,U+1013,MYANMAR LETTER DHA
ဴ,19091,U+1034,MYANMAR VOWEL SIGN MON O
ဘ,18887,U+1018,MYANMAR LETTER BHA
၂,17815,U+1042,MYANMAR DIGIT TWO
၁,17629,U+1041,MYANMAR DIGIT ONE
ဥ,11267,U+1025,MYANMAR LETTER U
ဌ,8330,U+100C,MYANMAR LETTER TTHA
၅,7136,U+1045,MYANMAR DIGIT FIVE
၃,6742,U+1043,MYANMAR DIGIT THREE
၄,5191,U+1044,MYANMAR DIGIT FOUR
၈,5094,U+1048,MYANMAR DIGIT EIGHT
၉,4862,U+1049,MYANMAR DIGIT NINE
၆,4318,U+1046,MYANMAR DIGIT SIX
ဋ,3481,U+100B,MYANMAR LETTER TTA
၇,3423,U+1047,MYANMAR DIGIT SEVEN
ဠ,2469,U+1020,MYANMAR LETTER LLA
ဃ,1936,U+1003,MYANMAR LETTER GHA
ဣ,1533,U+1023,MYANMAR LETTER I
ၝ,1499,U+105D,MYANMAR LETTER MON BBE
