file,characters_counted,all_text_length,nga_to_mon_nga_replacements,status
monnews/monnews_20260120_223250_2266.txt,2654,2931,0,ok
monnews/monnews_20260120_223250_49.txt,1786,1961,0,ok
monnews/monnews_20260427_212336_123.txt,2504,2709,0,ok
monnews/monnews_20260120_223250_617.txt,497,579,0,ok
monnews/monnews_20260120_223250_1176.txt,2009,2259,0,ok
monnews/monnews_20260120_223250_760.txt,6786,7393,0,ok
monnews/monnews_20260120_223250_2937.txt,1077,1189,2,ok
monnews/monnews_20260120_223250_2051.txt,2170,2374,0,ok
monnews/monnews_20260120_223250_1128.txt,1462,1594,0,ok
monnews/monnews_20260120_223250_1597.txt,2057,2375,0,ok
monnews/monnews_20260120_223250_2620.txt,2001,2286,0,ok
monnews/monnews_20260120_223250_382.txt,1159,1284,0,ok
monnews/monnews_20260120_223250_3219.txt,2824,3205,0,ok
monnews/monnews_20260120_223250_2030.txt,2369,2547,0,ok
monnews/monnews_20260120_223250_2952.txt,7107,7548,0,ok
monnews/monnews_20260120_223250_1134.txt,1909,2179,0,ok
monnews/monnews_20260120_223250_197.txt,4512,4871,163,ok
monnews/monnews_20260120_223250_2393.txt,2034,2225,0,ok
monnews/monnews_20260120_223250_1624.txt,2329,2545,0,ok
monnews/monnews_20260120_223250_1581.txt,1985,2158,0,ok
monnews/monnews_20260120_223250_3321.txt,1080,1182,0,ok
monnews/monnews_20260120_223250_3245.txt,1428,1537,0,ok
monnews/monnews_20260120_223250_3570.txt,1272,1377,0,ok
monnews/monnews_20260120_223250_36.txt,1873,2042,0,ok
monnews/monnews_20260120_223250_2006.txt,2124,2259,0,ok
monnews/monnews_20260120_223250_3180.txt,1113,1212,0,ok
monnews/monnews_20260427_212336_20.txt,2311,2532,88,ok
monnews/monnews_20260120_223250_223.txt,1735,1883,0,ok
monnews/monnews_20260120_223250_2598.txt,1854,2035,0,ok
monnews/monnews_20260120_223250_1866.txt,1689,2098,0,ok
monnews/monnews_20260120_223250_961.txt,3583,3942,0,ok
monnews/monnews_20260120_223250_31.txt,1232,1465,0,ok
monnews/monnews_20260120_223250_2337.txt,1773,1938,0,ok
monnews/monnews_20260120_223250_2608.txt,1665,1868,0,ok
monnews/monnews_20260120_223250_1319.txt,2112,2391,0,ok
monnews/monnews_20260427_212336_19.txt,2315,2482,80,ok
monnews/monnews_20260120_223250_2651.txt,2107,2294,0,ok
monnews/monnews_20260120_223250_40.txt,2163,2352,0,ok
monnews/monnews_20260427_212336_86.txt,1659,1877,0,ok
monnews/monnews_20260120_223250_978.txt,1512,1691,0,ok
monnews/monnews_20260120_223250_2318.txt,2069,2343,0,ok
monnews/monnews_20260120_223250_2158.txt,1602,1920,0,ok
monnews/monnews_20260120_223250_732.txt,7732,8487,0,ok
monnews/monnews_20260120_223250_2100.txt,1376,1512,0,ok
monnews/monnews_20260120_223250_117.txt,2233,2510,0,ok
monnews/monnews_20260120_223250_470.txt,1320,1571,0,ok
monnews/monnews_20260120_223250_908.txt,1626,1782,0,ok
monnews/monnews_20260120_223250_2585.txt,11301,12219,0,ok
monnews/monnews_20260120_223250_677.txt,51,124,0,ok
monnews/monnews_20260120_223250_374.txt,5464,6007,2,ok
monnews/monnews_20260120_223250_3103.txt,2444,2624,0,ok
