bigram,count,codepoints,unicode_names
ၚ်,1448,U+105A U+103A,MYANMAR LETTER MON NGA | MYANMAR SIGN ASAT
န်,1205,U+1014 U+103A,MYANMAR LETTER NA | MYANMAR SIGN ASAT
က်,1103,U+1000 U+103A,MYANMAR LETTER KA | MYANMAR SIGN ASAT
ို,979,U+102D U+102F,MYANMAR VOWEL SIGN I | MYANMAR VOWEL SIGN U
ော,786,U+1031 U+102C,MYANMAR VOWEL SIGN E | MYANMAR VOWEL SIGN AA
တ်,739,U+1010 U+103A,MYANMAR LETTER TA | MYANMAR SIGN ASAT
ွံ,728,U+103D U+1036,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR SIGN ANUSVARA
်က,709,U+103A U+1000,MYANMAR SIGN ASAT | MYANMAR LETTER KA
ိက,656,U+102D U+1000,MYANMAR VOWEL SIGN I | MYANMAR LETTER KA
်မ,648,U+103A U+1019,MYANMAR SIGN ASAT | MYANMAR LETTER MA
်ဂ,589,U+103A U+1002,MYANMAR SIGN ASAT | MYANMAR LETTER GA
ာန,580,U+102C U+1014,MYANMAR VOWEL SIGN AA | MYANMAR LETTER NA
်လ,549,U+103A U+101C,MYANMAR SIGN ASAT | MYANMAR LETTER LA
ှ်,521,U+103E U+103A,MYANMAR CONSONANT SIGN MEDIAL HA | MYANMAR SIGN ASAT
ဝ်,520,U+101D U+103A,MYANMAR LETTER WA | MYANMAR SIGN ASAT
်တ,514,U+103A U+1010,MYANMAR SIGN ASAT | MYANMAR LETTER TA
လိ,506,U+101C U+102D,MYANMAR LETTER LA | MYANMAR VOWEL SIGN I
်ရ,484,U+103A U+101B,MYANMAR SIGN ASAT | MYANMAR LETTER RA
ဵု,444,U+1035 U+102F,MYANMAR VOWEL SIGN E ABOVE | MYANMAR VOWEL SIGN U
ုၚ,424,U+102F U+105A,MYANMAR VOWEL SIGN U | MYANMAR LETTER MON NGA
ာ်,413,U+102C U+103A,MYANMAR VOWEL SIGN AA | MYANMAR SIGN ASAT
်ပ,405,U+103A U+1015,MYANMAR SIGN ASAT | MYANMAR LETTER PA
ဟ်,395,U+101F U+103A,MYANMAR LETTER HA | MYANMAR SIGN ASAT
်အ,379,U+103A U+1021,MYANMAR SIGN ASAT | MYANMAR LETTER A
ပ်,364,U+1015 U+103A,MYANMAR LETTER PA | MYANMAR SIGN ASAT
ုတ,336,U+102F U+1010,MYANMAR VOWEL SIGN U | MYANMAR LETTER TA
ကျ,323,U+1000 U+103B,MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MEDIAL YA
ီု,305,U+102E U+102F,MYANMAR VOWEL SIGN II | MYANMAR VOWEL SIGN U
ဂွ,303,U+1002 U+103D,MYANMAR LETTER GA | MYANMAR CONSONANT SIGN MEDIAL WA
်သ,302,U+103A U+101E,MYANMAR SIGN ASAT | MYANMAR LETTER SA
ံၚ,302,U+1036 U+105A,MYANMAR SIGN ANUSVARA | MYANMAR LETTER MON NGA
ျာ,300,U+103B U+102C,MYANMAR CONSONANT SIGN MEDIAL YA | MYANMAR VOWEL SIGN AA
ကဵ,289,U+1000 U+1035,MYANMAR LETTER KA | MYANMAR VOWEL SIGN E ABOVE
ကေ,259,U+1000 U+1031,MYANMAR LETTER KA | MYANMAR VOWEL SIGN E
တိ,254,U+1010 U+102D,MYANMAR LETTER TA | MYANMAR VOWEL SIGN I
ုဟ,253,U+102F U+101F,MYANMAR VOWEL SIGN U | MYANMAR LETTER HA
်စ,246,U+103A U+1005,MYANMAR SIGN ASAT | MYANMAR LETTER CA
ုဲ,243,U+102F U+1032,MYANMAR VOWEL SIGN U | MYANMAR VOWEL SIGN AI
ွဲ,230,U+103D U+1032,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR VOWEL SIGN AI
ဂှ,230,U+1002 U+103E,MYANMAR LETTER GA | MYANMAR CONSONANT SIGN MEDIAL HA
မန,225,U+1019 U+1014,MYANMAR LETTER MA | MYANMAR LETTER NA
်ဒ,221,U+103A U+1012,MYANMAR SIGN ASAT | MYANMAR LETTER DA
ုပ,219,U+102F U+1015,MYANMAR VOWEL SIGN U | MYANMAR LETTER PA
