character,count,codepoints,unicode_names
်,7383,U+103A,MYANMAR SIGN ASAT
က,3131,U+1000,MYANMAR LETTER KA
ု,3023,U+102F,MYANMAR VOWEL SIGN U
ာ,2724,U+102C,MYANMAR VOWEL SIGN AA
ိ,2357,U+102D,MYANMAR VOWEL SIGN I
တ,2291,U+1010,MYANMAR LETTER TA
န,1817,U+1014,MYANMAR LETTER NA
မ,1754,U+1019,MYANMAR LETTER MA
ံ,1727,U+1036,MYANMAR SIGN ANUSVARA
ေ,1721,U+1031,MYANMAR VOWEL SIGN E
ၚ,1640,U+105A,MYANMAR LETTER MON NGA
ပ,1503,U+1015,MYANMAR LETTER PA
လ,1401,U+101C,MYANMAR LETTER LA
ဂ,1387,U+1002,MYANMAR LETTER GA
ွ,1289,U+103D,MYANMAR CONSONANT SIGN MEDIAL WA
ရ,1206,U+101B,MYANMAR LETTER RA
အ,1114,U+1021,MYANMAR LETTER A
ဲ,964,U+1032,MYANMAR VOWEL SIGN AI
္,960,U+1039,MYANMAR SIGN VIRAMA
သ,936,U+101E,MYANMAR LETTER SA
ဟ,798,U+101F,MYANMAR LETTER HA
ဝ,784,U+101D,MYANMAR LETTER WA
း,689,U+1038,MYANMAR SIGN VISARGA
ည,649,U+100A,MYANMAR LETTER NNYA
စ,626,U+1005,MYANMAR LETTER CA
ှ,597,U+103E,MYANMAR CONSONANT SIGN MEDIAL HA
ဒ,590,U+1012,MYANMAR LETTER DA
ၠ,556,U+1060,MYANMAR CONSONANT SIGN MON MEDIAL LA
ဗ,511,U+1017,MYANMAR LETTER BA
ျ,493,U+103B,MYANMAR CONSONANT SIGN MEDIAL YA
။,489,U+104B,MYANMAR SIGN SECTION
ဵ,446,U+1035,MYANMAR VOWEL SIGN E ABOVE
ီ,437,U+102E,MYANMAR VOWEL SIGN II
ဏ,432,U+100F,MYANMAR LETTER NNA
ခ,377,U+1001,MYANMAR LETTER KHA
ြ,358,U+103C,MYANMAR CONSONANT SIGN MEDIAL RA
ၞ,354,U+105E,MYANMAR CONSONANT SIGN MON MEDIAL NA
ၟ,348,U+105F,MYANMAR CONSONANT SIGN MON MEDIAL MA
ါ,317,U+102B,MYANMAR VOWEL SIGN TALL AA
ဇ,314,U+1007,MYANMAR LETTER JA
ယ,269,U+101A,MYANMAR LETTER YA
ူ,258,U+1030,MYANMAR VOWEL SIGN UU
ဍ,238,U+100D,MYANMAR LETTER DDA
ဴ,235,U+1034,MYANMAR VOWEL SIGN MON O
ထ,219,U+1011,MYANMAR LETTER THA
ဘ,169,U+1018,MYANMAR LETTER BHA
ဆ,154,U+1006,MYANMAR LETTER CHA
၊,134,U+104A,MYANMAR SIGN LITTLE SECTION
ဓ,131,U+1013,MYANMAR LETTER DHA
ဳ,116,U+1033,MYANMAR VOWEL SIGN MON II
၀,106,U+1040,MYANMAR DIGIT ZERO
ဖ,100,U+1016,MYANMAR LETTER PHA
ၜ,99,U+105C,MYANMAR LETTER MON BBA
၁,59,U+1041,MYANMAR DIGIT ONE
၂,39,U+1042,MYANMAR DIGIT TWO
၃,33,U+1043,MYANMAR DIGIT THREE
ဌ,32,U+100C,MYANMAR LETTER TTHA
၅,30,U+1045,MYANMAR DIGIT FIVE
ဥ,28,U+1025,MYANMAR LETTER U
ဋ,23,U+100B,MYANMAR LETTER TTA
့,23,U+1037,MYANMAR SIGN DOT BELOW
ဠ,20,U+1020,MYANMAR LETTER LLA
ဿ,19,U+103F,MYANMAR LETTER GREAT SA
၄,16,U+1044,MYANMAR DIGIT FOUR
ႅ,14,U+1085,MYANMAR VOWEL SIGN SHAN E ABOVE
ဃ,12,U+1003,MYANMAR LETTER GHA
၆,12,U+1046,MYANMAR DIGIT SIX
၉,9,U+1049,MYANMAR DIGIT NINE
ဩ,8,U+1029,MYANMAR LETTER O
ဉ,6,U+1009,MYANMAR LETTER NYA
ၛ,5,U+105B,MYANMAR LETTER MON JHA
၈,5,U+1048,MYANMAR DIGIT EIGHT
ၝ,5,U+105D,MYANMAR LETTER MON BBE
၇,4,U+1047,MYANMAR DIGIT SEVEN
ဣ,3,U+1023,MYANMAR LETTER I
ႏ,2,U+108F,MYANMAR SIGN RUMAI PALAUNG TONE-5
ဨ,1,U+1028,MYANMAR LETTER MON E
၏,1,U+104F,MYANMAR SYMBOL GENITIVE
ဦ,1,U+1026,MYANMAR LETTER UU
