file,characters_counted,all_text_length,nga_to_mon_nga_replacements,status
telegram_mot_tip_ebook/msg_20260122_173335_27.txt,75,85,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_293.txt,8,10,1,ok
telegram_mot_tip_ebook/msg_20260122_173335_1136.txt,82,86,1,ok
telegram_mot_tip_ebook/msg_20260427_213939_57.txt,51,56,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_1524.txt,15,19,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_2697.txt,16,16,0,ok
telegram_mot_tip_ebook/msg_20260122_173046_176.txt,124,139,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_403.txt,19,19,1,ok
telegram_mot_tip_ebook/msg_20260427_213939_314.txt,19,21,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_484.txt,92,99,2,ok
telegram_mot_tip_ebook/msg_20260122_173335_601.txt,87,99,2,ok
telegram_mot_tip_ebook/msg_20260122_174045_2100.txt,39,42,0,ok
telegram_mot_tip_ebook/msg_20260122_174338_1799.txt,0,8,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_1518.txt,14,19,1,ok
telegram_mot_tip_ebook/msg_20260122_173335_17.txt,54,56,1,ok
telegram_mot_tip_ebook/msg_20260122_174045_1130.txt,0,13,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_2489.txt,13,14,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_45.txt,12,13,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_2471.txt,59,61,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_401.txt,13,13,0,ok
telegram_mot_tip_ebook/msg_20260122_173046_109.txt,214,255,0,ok
telegram_mot_tip_ebook/msg_20260122_173046_112.txt,52,55,3,ok
telegram_mot_tip_ebook/msg_20260427_213939_544.txt,14,15,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_1053.txt,13,13,0,ok
telegram_mot_tip_ebook/msg_20260122_173046_151.txt,49,50,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_202.txt,18,19,1,ok
telegram_mot_tip_ebook/msg_20260427_213939_527.txt,0,7,0,ok
telegram_mot_tip_ebook/msg_20260122_173046_235.txt,122,165,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_126.txt,43,47,2,ok
telegram_mot_tip_ebook/msg_20260122_174045_2700.txt,17,17,1,ok
telegram_mot_tip_ebook/msg_20260427_213939_593.txt,21,21,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_602.txt,40,48,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_15.txt,21,21,1,ok
telegram_mot_tip_ebook/msg_20260427_213939_94.txt,53,55,1,ok
telegram_mot_tip_ebook/msg_20260122_174045_2326.txt,20,25,1,ok
telegram_mot_tip_ebook/msg_20260122_174045_474.txt,17,23,1,ok
telegram_mot_tip_ebook/msg_20260122_173335_1128.txt,51,51,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_74.txt,42,49,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_535.txt,19,21,1,ok
telegram_mot_tip_ebook/msg_20260427_213939_555.txt,73,77,2,ok
telegram_mot_tip_ebook/msg_20260122_174045_2072.txt,17,17,0,ok
telegram_mot_tip_ebook/msg_20260122_173046_230.txt,0,139,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_290.txt,27,28,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_616.txt,58,66,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_225.txt,25,25,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_1455.txt,17,19,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_432.txt,24,24,2,ok
telegram_mot_tip_ebook/msg_20260122_174045_550.txt,32,33,1,ok
telegram_mot_tip_ebook/msg_20260122_174045_1150.txt,27,30,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_2742.txt,34,36,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_428.txt,75,80,2,ok
telegram_mot_tip_ebook/msg_20260122_174045_1465.txt,17,24,0,ok
