trigram,count,codepoints,unicode_names
ိက်,560,U+102D U+1000 U+103A,MYANMAR VOWEL SIGN I | MYANMAR LETTER KA | MYANMAR SIGN ASAT
ာန်,512,U+102C U+1014 U+103A,MYANMAR VOWEL SIGN AA | MYANMAR LETTER NA | MYANMAR SIGN ASAT
လိက,445,U+101C U+102D U+1000,MYANMAR LETTER LA | MYANMAR VOWEL SIGN I | MYANMAR LETTER KA
ုၚ်,416,U+102F U+105A U+103A,MYANMAR VOWEL SIGN U | MYANMAR LETTER MON NGA | MYANMAR SIGN ASAT
ံၚ်,295,U+1036 U+105A U+103A,MYANMAR SIGN ANUSVARA | MYANMAR LETTER MON NGA | MYANMAR SIGN ASAT
ဂွံ,291,U+1002 U+103D U+1036,MYANMAR LETTER GA | MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR SIGN ANUSVARA
ကဵု,289,U+1000 U+1035 U+102F,MYANMAR LETTER KA | MYANMAR VOWEL SIGN E ABOVE | MYANMAR VOWEL SIGN U
ကျာ,284,U+1000 U+103B U+102C,MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MEDIAL YA | MYANMAR VOWEL SIGN AA
ျာ်,281,U+103B U+102C U+103A,MYANMAR CONSONANT SIGN MEDIAL YA | MYANMAR VOWEL SIGN AA | MYANMAR SIGN ASAT
ောန,264,U+1031 U+102C U+1014,MYANMAR VOWEL SIGN E | MYANMAR VOWEL SIGN AA | MYANMAR LETTER NA
ုတ်,252,U+102F U+1010 U+103A,MYANMAR VOWEL SIGN U | MYANMAR LETTER TA | MYANMAR SIGN ASAT
ဂှ်,230,U+1002 U+103E U+103A,MYANMAR LETTER GA | MYANMAR CONSONANT SIGN MEDIAL HA | MYANMAR SIGN ASAT
ုဟ်,223,U+102F U+101F U+103A,MYANMAR VOWEL SIGN U | MYANMAR LETTER HA | MYANMAR SIGN ASAT
မန်,219,U+1019 U+1014 U+103A,MYANMAR LETTER MA | MYANMAR LETTER NA | MYANMAR SIGN ASAT
နွံ,210,U+1014 U+103D U+1036,MYANMAR LETTER NA | MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR SIGN ANUSVARA
်လိ,208,U+103A U+101C U+102D,MYANMAR SIGN ASAT | MYANMAR LETTER LA | MYANMAR VOWEL SIGN I
ိုၚ,205,U+102D U+102F U+105A,MYANMAR VOWEL SIGN I | MYANMAR VOWEL SIGN U | MYANMAR LETTER MON NGA
ိုတ,202,U+102D U+102F U+1010,MYANMAR VOWEL SIGN I | MYANMAR VOWEL SIGN U | MYANMAR LETTER TA
လဝ်,197,U+101C U+101D U+103A,MYANMAR LETTER LA | MYANMAR LETTER WA | MYANMAR SIGN ASAT
်ဂွ,178,U+103A U+1002 U+103D,MYANMAR SIGN ASAT | MYANMAR LETTER GA | MYANMAR CONSONANT SIGN MEDIAL WA
်ကဵ,172,U+103A U+1000 U+1035,MYANMAR SIGN ASAT | MYANMAR LETTER KA | MYANMAR VOWEL SIGN E ABOVE
မွဲ,171,U+1019 U+103D U+1032,MYANMAR LETTER MA | MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR VOWEL SIGN AI
ေၚ်,168,U+1031 U+105A U+103A,MYANMAR VOWEL SIGN E | MYANMAR LETTER MON NGA | MYANMAR SIGN ASAT
ုန်,165,U+102F U+1014 U+103A,MYANMAR VOWEL SIGN U | MYANMAR LETTER NA | MYANMAR SIGN ASAT
ုပ်,165,U+102F U+1015 U+103A,MYANMAR VOWEL SIGN U | MYANMAR LETTER PA | MYANMAR SIGN ASAT
က်ဂ,164,U+1000 U+103A U+1002,MYANMAR LETTER KA | MYANMAR SIGN ASAT | MYANMAR LETTER GA
ိုဟ,159,U+102D U+102F U+101F,MYANMAR VOWEL SIGN I | MYANMAR VOWEL SIGN U | MYANMAR LETTER HA
ာၚ်,156,U+102C U+105A U+103A,MYANMAR VOWEL SIGN AA | MYANMAR LETTER MON NGA | MYANMAR SIGN ASAT
တို,155,U+1010 U+102D U+102F,MYANMAR LETTER TA | MYANMAR VOWEL SIGN I | MYANMAR VOWEL SIGN U
တုဲ,155,U+1010 U+102F U+1032,MYANMAR LETTER TA | MYANMAR VOWEL SIGN U | MYANMAR VOWEL SIGN AI
န်က,150,U+1014 U+103A U+1000,MYANMAR LETTER NA | MYANMAR SIGN ASAT | MYANMAR LETTER KA
ွံမ,144,U+103D U+1036 U+1019,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR SIGN ANUSVARA | MYANMAR LETTER MA
ၚ်ဂ,143,U+105A U+103A U+1002,MYANMAR LETTER MON NGA | MYANMAR SIGN ASAT | MYANMAR LETTER GA
မ္ဂ,141,U+1019 U+1039 U+1002,MYANMAR LETTER MA | MYANMAR SIGN VIRAMA | MYANMAR LETTER GA
္ဂး,141,U+1039 U+1002 U+1038,MYANMAR SIGN VIRAMA | MYANMAR LETTER GA | MYANMAR SIGN VISARGA
ိုန,138,U+102D U+102F U+1014,MYANMAR VOWEL SIGN I | MYANMAR VOWEL SIGN U | MYANMAR LETTER NA
်မန,137,U+103A U+1019 U+1014,MYANMAR SIGN ASAT | MYANMAR LETTER MA | MYANMAR LETTER NA
ၚ်က,136,U+105A U+103A U+1000,MYANMAR LETTER MON NGA | MYANMAR SIGN ASAT | MYANMAR LETTER KA
်ရ။,136,U+103A U+101B U+104B,MYANMAR SIGN ASAT | MYANMAR LETTER RA | MYANMAR SIGN SECTION
ကော,133,U+1000 U+1031 U+102C,MYANMAR LETTER KA | MYANMAR VOWEL SIGN E | MYANMAR VOWEL SIGN AA
ဂုဏ,132,U+1002 U+102F U+100F,MYANMAR LETTER GA | MYANMAR VOWEL SIGN U | MYANMAR LETTER NNA
ၠော,132,U+1060 U+1031 U+102C,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN E | MYANMAR VOWEL SIGN AA
ုဏ်,131,U+102F U+100F U+103A,MYANMAR VOWEL SIGN U | MYANMAR LETTER NNA | MYANMAR SIGN ASAT
ဟွံ,131,U+101F U+103D U+1036,MYANMAR LETTER HA | MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR SIGN ANUSVARA
ောၚ,129,U+1031 U+102C U+105A,MYANMAR VOWEL SIGN E | MYANMAR VOWEL SIGN AA | MYANMAR LETTER MON NGA
ကီု,125,U+1000 U+102E U+102F,MYANMAR LETTER KA | MYANMAR VOWEL SIGN II | MYANMAR VOWEL SIGN U
မံၚ,125,U+1019 U+1036 U+105A,MYANMAR LETTER MA | MYANMAR SIGN ANUSVARA | MYANMAR LETTER MON NGA
်ဂှ,123,U+103A U+1002 U+103E,MYANMAR SIGN ASAT | MYANMAR LETTER GA | MYANMAR CONSONANT SIGN MEDIAL HA
ွက်,122,U+103D U+1000 U+103A,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR LETTER KA | MYANMAR SIGN ASAT
ေဝ်,121,U+1031 U+101D U+103A,MYANMAR VOWEL SIGN E | MYANMAR LETTER WA | MYANMAR SIGN ASAT
ရော,120,U+101B U+1031 U+102C,MYANMAR LETTER RA | MYANMAR VOWEL SIGN E | MYANMAR VOWEL SIGN AA
ုက်,115,U+102F U+1000 U+103A,MYANMAR VOWEL SIGN U | MYANMAR LETTER KA | MYANMAR SIGN ASAT
်လဝ,114,U+103A U+101C U+101D,MYANMAR SIGN ASAT | MYANMAR LETTER LA | MYANMAR LETTER WA
န်လ,114,U+1014 U+103A U+101C,MYANMAR LETTER NA | MYANMAR SIGN ASAT | MYANMAR LETTER LA
ၚ်မ,113,U+105A U+103A U+1019,MYANMAR LETTER MON NGA | MYANMAR SIGN ASAT | MYANMAR LETTER MA
သွက,109,U+101E U+103D U+1000,MYANMAR LETTER SA | MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR LETTER KA
က်မ,109,U+1000 U+103A U+1019,MYANMAR LETTER KA | MYANMAR SIGN ASAT | MYANMAR LETTER MA
်ကၠ,109,U+103A U+1000 U+1060,MYANMAR SIGN ASAT | MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MON MEDIAL LA
န်ရ,106,U+1014 U+103A U+101B,MYANMAR LETTER NA | MYANMAR SIGN ASAT | MYANMAR LETTER RA
ေတ်,106,U+1031 U+1010 U+103A,MYANMAR VOWEL SIGN E | MYANMAR LETTER TA | MYANMAR SIGN ASAT
ောံ,102,U+1031 U+102C U+1036,MYANMAR VOWEL SIGN E | MYANMAR VOWEL SIGN AA | MYANMAR SIGN ANUSVARA
က်က,101,U+1000 U+103A U+1000,MYANMAR LETTER KA | MYANMAR SIGN ASAT | MYANMAR LETTER KA
ၚ်ရ,101,U+105A U+103A U+101B,MYANMAR LETTER MON NGA | MYANMAR SIGN ASAT | MYANMAR LETTER RA
န်မ,100,U+1014 U+103A U+1019,MYANMAR LETTER NA | MYANMAR SIGN ASAT | MYANMAR LETTER MA
တၚ်,99,U+1010 U+105A U+103A,MYANMAR LETTER TA | MYANMAR LETTER MON NGA | MYANMAR SIGN ASAT
ဒှ်,99,U+1012 U+103E U+103A,MYANMAR LETTER DA | MYANMAR CONSONANT SIGN MEDIAL HA | MYANMAR SIGN ASAT
်နွ,98,U+103A U+1014 U+103D,MYANMAR SIGN ASAT | MYANMAR LETTER NA | MYANMAR CONSONANT SIGN MEDIAL WA
ဗှ်,98,U+1017 U+103E U+103A,MYANMAR LETTER BA | MYANMAR CONSONANT SIGN MEDIAL HA | MYANMAR SIGN ASAT
ခို,95,U+1001 U+102D U+102F,MYANMAR LETTER KHA | MYANMAR VOWEL SIGN I | MYANMAR VOWEL SIGN U
ၞော,94,U+105E U+1031 U+102C,MYANMAR CONSONANT SIGN MON MEDIAL NA | MYANMAR VOWEL SIGN E | MYANMAR VOWEL SIGN AA
မာန,94,U+1019 U+102C U+1014,MYANMAR LETTER MA | MYANMAR VOWEL SIGN AA | MYANMAR LETTER NA
က်ပ,94,U+1000 U+103A U+1015,MYANMAR LETTER KA | MYANMAR SIGN ASAT | MYANMAR LETTER PA
ကၠေ,94,U+1000 U+1060 U+1031,MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN E
ၠို,92,U+1060 U+102D U+102F,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN I | MYANMAR VOWEL SIGN U
စို,92,U+1005 U+102D U+102F,MYANMAR LETTER CA | MYANMAR VOWEL SIGN I | MYANMAR VOWEL SIGN U
ရကျ,91,U+101B U+1000 U+103B,MYANMAR LETTER RA | MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MEDIAL YA
န်တ,91,U+1014 U+103A U+1010,MYANMAR LETTER NA | MYANMAR SIGN ASAT | MYANMAR LETTER TA
်တု,91,U+103A U+1010 U+102F,MYANMAR SIGN ASAT | MYANMAR LETTER TA | MYANMAR VOWEL SIGN U
တ်မ,90,U+1010 U+103A U+1019,MYANMAR LETTER TA | MYANMAR SIGN ASAT | MYANMAR LETTER MA
ပတိ,89,U+1015 U+1010 U+102D,MYANMAR LETTER PA | MYANMAR LETTER TA | MYANMAR VOWEL SIGN I
ာတ်,87,U+102C U+1010 U+103A,MYANMAR VOWEL SIGN AA | MYANMAR LETTER TA | MYANMAR SIGN ASAT
ိုက,86,U+102D U+102F U+1000,MYANMAR VOWEL SIGN I | MYANMAR VOWEL SIGN U | MYANMAR LETTER KA
်ရေ,84,U+103A U+101B U+1031,MYANMAR SIGN ASAT | MYANMAR LETTER RA | MYANMAR VOWEL SIGN E
ာ်အ,83,U+102C U+103A U+1021,MYANMAR VOWEL SIGN AA | MYANMAR SIGN ASAT | MYANMAR LETTER A
အုပ,83,U+1021 U+102F U+1015,MYANMAR LETTER A | MYANMAR VOWEL SIGN U | MYANMAR LETTER PA
်ဂု,80,U+103A U+1002 U+102F,MYANMAR SIGN ASAT | MYANMAR LETTER GA | MYANMAR VOWEL SIGN U
တ်လ,80,U+1010 U+103A U+101C,MYANMAR LETTER TA | MYANMAR SIGN ASAT | MYANMAR LETTER LA
်ညိ,80,U+103A U+100A U+102D,MYANMAR SIGN ASAT | MYANMAR LETTER NNYA | MYANMAR VOWEL SIGN I
ဇကု,79,U+1007 U+1000 U+102F,MYANMAR LETTER JA | MYANMAR LETTER KA | MYANMAR VOWEL SIGN U
ပို,78,U+1015 U+102D U+102F,MYANMAR LETTER PA | MYANMAR VOWEL SIGN I | MYANMAR VOWEL SIGN U
လေဝ,78,U+101C U+1031 U+101D,MYANMAR LETTER LA | MYANMAR VOWEL SIGN E | MYANMAR LETTER WA
်ကေ,77,U+103A U+1000 U+1031,MYANMAR SIGN ASAT | MYANMAR LETTER KA | MYANMAR VOWEL SIGN E
်ကီ,77,U+103A U+1000 U+102E,MYANMAR SIGN ASAT | MYANMAR LETTER KA | MYANMAR VOWEL SIGN II
က်တ,77,U+1000 U+103A U+1010,MYANMAR LETTER KA | MYANMAR SIGN ASAT | MYANMAR LETTER TA
က်အ,77,U+1000 U+103A U+1021,MYANMAR LETTER KA | MYANMAR SIGN ASAT | MYANMAR LETTER A
ော်,75,U+1031 U+102C U+103A,MYANMAR VOWEL SIGN E | MYANMAR VOWEL SIGN AA | MYANMAR SIGN ASAT
န်ဂ,75,U+1014 U+103A U+1002,MYANMAR LETTER NA | MYANMAR SIGN ASAT | MYANMAR LETTER GA
ၚ်စ,75,U+105A U+103A U+1005,MYANMAR LETTER MON NGA | MYANMAR SIGN ASAT | MYANMAR LETTER CA
အို,75,U+1021 U+102D U+102F,MYANMAR LETTER A | MYANMAR VOWEL SIGN I | MYANMAR VOWEL SIGN U
လော,74,U+101C U+1031 U+102C,MYANMAR LETTER LA | MYANMAR VOWEL SIGN E | MYANMAR VOWEL SIGN AA
တအ်,74,U+1010 U+1021 U+103A,MYANMAR LETTER TA | MYANMAR LETTER A | MYANMAR SIGN ASAT
ရအဴ,72,U+101B U+1021 U+1034,MYANMAR LETTER RA | MYANMAR LETTER A | MYANMAR VOWEL SIGN MON O
မိက,72,U+1019 U+102D U+1000,MYANMAR LETTER MA | MYANMAR VOWEL SIGN I | MYANMAR LETTER KA
်ညး,71,U+103A U+100A U+1038,MYANMAR SIGN ASAT | MYANMAR LETTER NNYA | MYANMAR SIGN VISARGA
ကို,71,U+1000 U+102D U+102F,MYANMAR LETTER KA | MYANMAR VOWEL SIGN I | MYANMAR VOWEL SIGN U
်မွ,70,U+103A U+1019 U+103D,MYANMAR SIGN ASAT | MYANMAR LETTER MA | MYANMAR CONSONANT SIGN MEDIAL WA
ိၚ်,69,U+102D U+105A U+103A,MYANMAR VOWEL SIGN I | MYANMAR LETTER MON NGA | MYANMAR SIGN ASAT
်ဟွ,69,U+103A U+101F U+103D,MYANMAR SIGN ASAT | MYANMAR LETTER HA | MYANMAR CONSONANT SIGN MEDIAL WA
ၚ်သ,68,U+105A U+103A U+101E,MYANMAR LETTER MON NGA | MYANMAR SIGN ASAT | MYANMAR LETTER SA
်ဂက,67,U+103A U+1002 U+1000,MYANMAR SIGN ASAT | MYANMAR LETTER GA | MYANMAR LETTER KA
