bigram,count,codepoints,unicode_names
ၚ်,655719,U+105A U+103A,MYANMAR LETTER MON NGA | MYANMAR SIGN ASAT
ို,374425,U+102D U+102F,MYANMAR VOWEL SIGN I | MYANMAR VOWEL SIGN U
န်,333599,U+1014 U+103A,MYANMAR LETTER NA | MYANMAR SIGN ASAT
ုၚ,300018,U+102F U+105A,MYANMAR VOWEL SIGN U | MYANMAR LETTER MON NGA
တ်,285986,U+1010 U+103A,MYANMAR LETTER TA | MYANMAR SIGN ASAT
်က,274077,U+103A U+1000,MYANMAR SIGN ASAT | MYANMAR LETTER KA
ော,252202,U+1031 U+102C,MYANMAR VOWEL SIGN E | MYANMAR VOWEL SIGN AA
ှ်,233722,U+103E U+103A,MYANMAR CONSONANT SIGN MEDIAL HA | MYANMAR SIGN ASAT
ွံ,191192,U+103D U+1036,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR SIGN ANUSVARA
က်,191180,U+1000 U+103A,MYANMAR LETTER KA | MYANMAR SIGN ASAT
်တ,190892,U+103A U+1010,MYANMAR SIGN ASAT | MYANMAR LETTER TA
်မ,190763,U+103A U+1019,MYANMAR SIGN ASAT | MYANMAR LETTER MA
်ဂ,178669,U+103A U+1002,MYANMAR SIGN ASAT | MYANMAR LETTER GA
ဵု,177966,U+1035 U+102F,MYANMAR VOWEL SIGN E ABOVE | MYANMAR VOWEL SIGN U
်ပ,175619,U+103A U+1015,MYANMAR SIGN ASAT | MYANMAR LETTER PA
ာန,164858,U+102C U+1014,MYANMAR VOWEL SIGN AA | MYANMAR LETTER NA
ဝ်,164053,U+101D U+103A,MYANMAR LETTER WA | MYANMAR SIGN ASAT
်သ,160374,U+103A U+101E,MYANMAR SIGN ASAT | MYANMAR LETTER SA
်ရ,142977,U+103A U+101B,MYANMAR SIGN ASAT | MYANMAR LETTER RA
ဂှ,136046,U+1002 U+103E,MYANMAR LETTER GA | MYANMAR CONSONANT SIGN MEDIAL HA
ုတ,130446,U+102F U+1010,MYANMAR VOWEL SIGN U | MYANMAR LETTER TA
ာ်,124901,U+102C U+103A,MYANMAR VOWEL SIGN AA | MYANMAR SIGN ASAT
ပ်,118674,U+1015 U+103A,MYANMAR LETTER PA | MYANMAR SIGN ASAT
ဍု,114817,U+100D U+102F,MYANMAR LETTER DDA | MYANMAR VOWEL SIGN U
ကေ,110825,U+1000 U+1031,MYANMAR LETTER KA | MYANMAR VOWEL SIGN E
ကဵ,109875,U+1000 U+1035,MYANMAR LETTER KA | MYANMAR VOWEL SIGN E ABOVE
်လ,109271,U+103A U+101C,MYANMAR SIGN ASAT | MYANMAR LETTER LA
်အ,107479,U+103A U+1021,MYANMAR SIGN ASAT | MYANMAR LETTER A
ဟ်,106743,U+101F U+103A,MYANMAR LETTER HA | MYANMAR SIGN ASAT
ပ္,98381,U+1015 U+1039,MYANMAR LETTER PA | MYANMAR SIGN VIRAMA
တု,96941,U+1010 U+102F,MYANMAR LETTER TA | MYANMAR VOWEL SIGN U
်ဒ,96756,U+103A U+1012,MYANMAR SIGN ASAT | MYANMAR LETTER DA
