file,characters_counted,all_text_length,nga_to_mon_nga_replacements,status
wikipedia/wikipedia_20260122_125739_3270.txt,890,1612,25,ok
wikipedia/wikipedia_20260122_125739_1527.txt,337,391,10,ok
wikipedia/wikipedia_20260427_213144_135.txt,1313,2482,47,ok
wikipedia/wikipedia_20260427_213144_4.txt,1462,2333,48,ok
wikipedia/wikipedia_20260427_213144_15.txt,913,1293,37,ok
wikipedia/wikipedia_20260122_125739_1139.txt,244,284,5,ok
wikipedia/wikipedia_20260122_125739_901.txt,320,365,11,ok
wikipedia/wikipedia_20260122_125739_2167.txt,1382,1622,24,ok
wikipedia/wikipedia_20260427_213144_100.txt,2382,3692,61,ok
wikipedia/wikipedia_20260122_125739_1730.txt,4300,5186,372,ok
wikipedia/wikipedia_20260122_125739_1947.txt,4229,4749,119,ok
wikipedia/wikipedia_20260122_125739_1986.txt,2489,2824,92,ok
wikipedia/wikipedia_20260122_125739_2400.txt,317,366,9,ok
wikipedia/wikipedia_20260122_125739_258.txt,3342,3819,141,ok
wikipedia/wikipedia_20260122_125739_759.txt,3829,4569,298,ok
wikipedia/wikipedia_20260122_125739_733.txt,5116,5832,97,ok
wikipedia/wikipedia_20260122_125739_635.txt,4333,5228,373,ok
wikipedia/wikipedia_20260122_125739_1145.txt,199,228,9,ok
wikipedia/wikipedia_20260122_125739_103.txt,882,1389,35,ok
wikipedia/wikipedia_20260122_125739_1586.txt,2403,3015,88,ok
wikipedia/wikipedia_20260122_125739_668.txt,10712,12060,401,ok
wikipedia/wikipedia_20260122_125739_1508.txt,201,244,1,ok
wikipedia/wikipedia_20260122_125739_513.txt,298,339,9,ok
wikipedia/wikipedia_20260122_125739_2590.txt,332,379,9,ok
wikipedia/wikipedia_20260122_125739_817.txt,526,580,1,ok
wikipedia/wikipedia_20260122_125739_2720.txt,679,735,1,ok
wikipedia/wikipedia_20260122_125739_217.txt,350,405,13,ok
wikipedia/wikipedia_20260122_125739_1213.txt,1785,1973,1,ok
wikipedia/wikipedia_20260122_125739_3107.txt,66,78,5,ok
wikipedia/wikipedia_20260122_125739_1860.txt,906,1009,1,ok
wikipedia/wikipedia_20260122_125739_2745.txt,4313,5202,370,ok
wikipedia/wikipedia_20260122_125739_2839.txt,311,355,10,ok
wikipedia/wikipedia_20260122_125739_667.txt,11023,12474,414,ok
wikipedia/wikipedia_20260122_125739_2616.txt,3684,4410,340,ok
wikipedia/wikipedia_20260122_125739_2349.txt,3286,3516,2,ok
wikipedia/wikipedia_20260122_125739_955.txt,391,455,18,ok
wikipedia/wikipedia_20260122_125739_726.txt,11733,15700,403,ok
wikipedia/wikipedia_20260122_125739_3209.txt,10432,11145,1,ok
wikipedia/wikipedia_20260122_125739_2479.txt,3703,4429,335,ok
wikipedia/wikipedia_20260122_125739_1883.txt,3102,3314,1,ok
wikipedia/wikipedia_20260122_125739_1816.txt,293,345,1,ok
wikipedia/wikipedia_20260122_125739_1969.txt,315,356,8,ok
wikipedia/wikipedia_20260122_125739_2730.txt,1097,1842,33,ok
wikipedia/wikipedia_20260427_213144_1473.txt,1058,1607,23,ok
wikipedia/wikipedia_20260427_213144_23.txt,79,326,1,ok
wikipedia/wikipedia_20260427_213144_251.txt,1236,2054,21,ok
wikipedia/wikipedia_20260122_125739_1447.txt,318,393,4,ok
wikipedia/wikipedia_20260122_125739_771.txt,8458,13469,245,ok
wikipedia/wikipedia_20260427_213144_940.txt,2225,3274,70,ok
wikipedia/wikipedia_20260122_125739_2996.txt,1853,2379,5,ok
wikipedia/wikipedia_20260122_125739_2382.txt,1536,1926,37,ok
wikipedia/wikipedia_20260122_125739_2582.txt,835,943,27,ok
wikipedia/wikipedia_20260122_125739_362.txt,4869,5673,113,ok
wikipedia/wikipedia_20260122_125739_3317.txt,6889,7391,1,ok
wikipedia/wikipedia_20260122_125739_1813.txt,4357,4676,1,ok
wikipedia/wikipedia_20260122_125739_1134.txt,203,232,6,ok
wikipedia/wikipedia_20260122_125739_2946.txt,194,223,4,ok
wikipedia/wikipedia_20260122_125739_579.txt,337,2915,14,ok
wikipedia/wikipedia_20260427_213144_25.txt,1457,1918,51,ok
wikipedia/wikipedia_20260122_125739_3374.txt,4269,5083,99,ok
wikipedia/wikipedia_20260122_125739_914.txt,104,312,3,ok
wikipedia/wikipedia_20260122_125739_527.txt,282,327,6,ok
wikipedia/wikipedia_20260122_125739_1397.txt,1128,1364,31,ok
wikipedia/wikipedia_20260122_125739_2230.txt,6116,7589,4,ok
wikipedia/wikipedia_20260122_125739_2915.txt,5469,6722,158,ok
wikipedia/wikipedia_20260122_125739_2765.txt,47,59,2,ok
wikipedia/wikipedia_20260122_125739_3397.txt,7967,25029,335,ok
wikipedia/wikipedia_20260122_125739_3334.txt,88,108,1,ok
wikipedia/wikipedia_20260122_125739_170.txt,2277,2577,5,ok
wikipedia/wikipedia_20260122_125739_824.txt,17744,18741,423,ok
wikipedia/wikipedia_20260122_125739_375.txt,339,397,10,ok
wikipedia/wikipedia_20260122_125739_20.txt,14,110,1,ok
wikipedia/wikipedia_20260122_125739_2922.txt,24863,29043,868,ok
wikipedia/wikipedia_20260122_125739_1062.txt,4313,5200,374,ok
wikipedia/wikipedia_20260122_125739_2869.txt,4401,15285,106,ok
wikipedia/wikipedia_20260427_213144_258.txt,1066,1665,40,ok
wikipedia/wikipedia_20260427_213144_207.txt,1466,2071,44,ok
wikipedia/wikipedia_20260122_125739_2327.txt,266,309,9,ok
wikipedia/wikipedia_20260122_125739_2907.txt,353,410,10,ok
wikipedia/wikipedia_20260122_125739_811.txt,794,1063,39,ok
wikipedia/wikipedia_20260427_213144_900.txt,1501,1979,39,ok
wikipedia/wikipedia_20260122_125739_341.txt,274,317,11,ok
wikipedia/wikipedia_20260122_125739_2174.txt,250,290,7,ok
wikipedia/wikipedia_20260122_125739_1679.txt,89,108,1,ok
wikipedia/wikipedia_20260427_213144_172.txt,1172,1633,23,ok
wikipedia/wikipedia_20260122_125739_1834.txt,5648,6554,163,ok
wikipedia/wikipedia_20260427_213144_326.txt,1916,2545,82,ok
wikipedia/wikipedia_20260122_125739_620.txt,370,430,11,ok
wikipedia/wikipedia_20260122_125739_3078.txt,813,2845,11,ok
wikipedia/wikipedia_20260427_213144_996.txt,1508,2144,49,ok
wikipedia/wikipedia_20260122_125739_1287.txt,256,300,7,ok
wikipedia/wikipedia_20260122_125739_1798.txt,5221,6159,360,ok
wikipedia/wikipedia_20260122_125739_3341.txt,78,98,2,ok
wikipedia/wikipedia_20260427_213144_190.txt,2205,3151,79,ok
wikipedia/wikipedia_20260122_125739_3081.txt,3077,3392,1,ok
wikipedia/wikipedia_20260122_125739_2573.txt,339,391,10,ok
wikipedia/wikipedia_20260122_125739_1240.txt,324,381,7,ok
wikipedia/wikipedia_20260122_125739_2615.txt,3861,4605,302,ok
wikipedia/wikipedia_20260122_125739_766.txt,1521,2272,53,ok
wikipedia/wikipedia_20260122_125739_1944.txt,3560,4086,129,ok
wikipedia/wikipedia_20260122_125739_2466.txt,1809,2063,70,ok
wikipedia/wikipedia_20260122_125739_2889.txt,428,489,12,ok
wikipedia/wikipedia_20260122_125739_410.txt,4734,5648,360,ok
wikipedia/wikipedia_20260427_213144_1242.txt,2076,2646,87,ok
wikipedia/wikipedia_20260122_125739_1896.txt,618,1061,24,ok
wikipedia/wikipedia_20260122_125739_745.txt,1986,2305,41,ok
wikipedia/wikipedia_20260122_125739_1608.txt,4772,7339,170,ok
wikipedia/wikipedia_20260122_125739_1671.txt,2469,2797,84,ok
wikipedia/wikipedia_20260122_125739_3191.txt,2915,3159,1,ok
wikipedia/wikipedia_20260122_125739_2872.txt,65,79,1,ok
wikipedia/wikipedia_20260122_125739_3376.txt,672,3194,15,ok
wikipedia/wikipedia_20260427_213144_1062.txt,1861,2628,41,ok
wikipedia/wikipedia_20260122_125739_406.txt,337,388,14,ok
wikipedia/wikipedia_20260427_213144_307.txt,918,1470,29,ok
wikipedia/wikipedia_20260122_125739_1277.txt,79,3272,1,ok
wikipedia/wikipedia_20260122_125739_2497.txt,737,922,18,ok
wikipedia/wikipedia_20260427_213144_1182.txt,647,1108,3,ok
wikipedia/wikipedia_20260427_213144_49.txt,624,1102,4,ok
wikipedia/wikipedia_20260122_125739_1711.txt,45392,49151,1,ok
wikipedia/wikipedia_20260427_213144_267.txt,1481,2774,74,ok
wikipedia/wikipedia_20260122_125739_1269.txt,1016,1097,1,ok
wikipedia/wikipedia_20260122_125739_3309.txt,10770,12861,330,ok
wikipedia/wikipedia_20260122_125739_554.txt,5446,6889,127,ok
wikipedia/wikipedia_20260427_213144_1196.txt,2029,2755,54,ok
wikipedia/wikipedia_20260122_125739_2549.txt,4316,4822,21,ok
wikipedia/wikipedia_20260122_125739_2550.txt,321,366,11,ok
wikipedia/wikipedia_20260122_125739_2586.txt,4078,4622,150,ok
wikipedia/wikipedia_20260122_125739_1971.txt,1519,2524,24,ok
wikipedia/wikipedia_20260122_125739_2404.txt,2620,3131,1,ok
wikipedia/wikipedia_20260122_125739_2809.txt,715,823,27,ok
wikipedia/wikipedia_20260122_125739_3136.txt,342,396,18,ok
wikipedia/wikipedia_20260122_125739_3473.txt,4332,5226,371,ok
wikipedia/wikipedia_20260122_125739_882.txt,115,161,1,ok
wikipedia/wikipedia_20260122_125739_118.txt,2532,2830,1,ok
wikipedia/wikipedia_20260427_213144_1192.txt,793,1143,24,ok
wikipedia/wikipedia_20260122_125739_2949.txt,201,230,8,ok
wikipedia/wikipedia_20260122_125739_967.txt,841,952,21,ok
wikipedia/wikipedia_20260122_125739_402.txt,3686,4404,341,ok
wikipedia/wikipedia_20260122_125739_625.txt,1718,1868,1,ok
wikipedia/wikipedia_20260122_125739_425.txt,4738,5653,363,ok
wikipedia/wikipedia_20260427_213144_1316.txt,2521,5535,92,ok
wikipedia/wikipedia_20260122_125739_3080.txt,2125,2356,1,ok
wikipedia/wikipedia_20260122_125739_18.txt,1505,23652,36,ok
wikipedia/wikipedia_20260122_125739_1568.txt,391,454,15,ok
wikipedia/wikipedia_20260427_213144_871.txt,990,1509,39,ok
wikipedia/wikipedia_20260122_125739_1695.txt,465,532,19,ok
wikipedia/wikipedia_20260122_125739_1853.txt,8303,9176,1,ok
wikipedia/wikipedia_20260122_125739_932.txt,2445,2947,2,ok
wikipedia/wikipedia_20260122_125739_384.txt,358,422,10,ok
wikipedia/wikipedia_20260122_125739_1682.txt,2251,3109,66,ok
wikipedia/wikipedia_20260122_125739_2161.txt,336,392,14,ok
wikipedia/wikipedia_20260122_125739_907.txt,378,438,15,ok
wikipedia/wikipedia_20260122_125739_2482.txt,3712,4439,340,ok
wikipedia/wikipedia_20260122_125739_1045.txt,3291,3704,1,ok
wikipedia/wikipedia_20260122_125739_2097.txt,180,214,1,ok
wikipedia/wikipedia_20260427_213144_1223.txt,3085,3965,109,ok
wikipedia/wikipedia_20260122_125739_2326.txt,12184,13627,251,ok
wikipedia/wikipedia_20260122_125739_41.txt,6724,7354,3,ok
wikipedia/wikipedia_20260122_125739_2166.txt,3760,4378,71,ok
wikipedia/wikipedia_20260122_125739_504.txt,4343,5241,373,ok
wikipedia/wikipedia_20260122_125739_1449.txt,796,1062,1,ok
wikipedia/wikipedia_20260122_125739_94.txt,2550,5051,63,ok
wikipedia/wikipedia_20260122_125739_1616.txt,1192,2122,1,ok
wikipedia/wikipedia_20260122_125739_3171.txt,7639,8322,1,ok
wikipedia/wikipedia_20260122_125739_2494.txt,942,1884,35,ok
wikipedia/wikipedia_20260122_125739_1333.txt,252,293,13,ok
wikipedia/wikipedia_20260122_125739_168.txt,3855,4598,297,ok
wikipedia/wikipedia_20260122_125739_1530.txt,279,324,6,ok
wikipedia/wikipedia_20260427_213144_74.txt,2991,4057,82,ok
wikipedia/wikipedia_20260122_125739_2686.txt,4311,5199,372,ok
wikipedia/wikipedia_20260122_125739_1972.txt,323,362,3,ok
wikipedia/wikipedia_20260122_125739_2370.txt,1997,2170,17,ok
wikipedia/wikipedia_20260122_125739_1959.txt,1046,1145,1,ok
wikipedia/wikipedia_20260427_213144_250.txt,1250,1802,30,ok
wikipedia/wikipedia_20260122_125739_1149.txt,255,298,7,ok
wikipedia/wikipedia_20260427_213144_5.txt,1612,2343,37,ok
wikipedia/wikipedia_20260122_125739_1422.txt,1676,2025,1,ok
wikipedia/wikipedia_20260122_125739_890.txt,321,370,10,ok
wikipedia/wikipedia_20260122_125739_3165.txt,2061,2337,2,ok
wikipedia/wikipedia_20260122_125739_933.txt,3705,4434,338,ok
wikipedia/wikipedia_20260427_213144_292.txt,657,1047,2,ok
wikipedia/wikipedia_20260427_213144_322.txt,1382,1972,43,ok
wikipedia/wikipedia_20260122_125739_3206.txt,8008,10009,252,ok
wikipedia/wikipedia_20260122_125739_2244.txt,185,219,1,ok
wikipedia/wikipedia_20260122_125739_2753.txt,250,290,7,ok
wikipedia/wikipedia_20260122_125739_2311.txt,967,1138,1,ok
wikipedia/wikipedia_20260122_125739_2840.txt,384,444,13,ok
wikipedia/wikipedia_20260122_125739_1778.txt,4322,5212,377,ok
wikipedia/wikipedia_20260427_213144_1075.txt,612,1073,4,ok
wikipedia/wikipedia_20260122_125739_1434.txt,161,191,1,ok
wikipedia/wikipedia_20260122_125739_881.txt,1731,2024,1,ok
wikipedia/wikipedia_20260122_125739_1503.txt,3699,4427,339,ok
wikipedia/wikipedia_20260122_125739_1314.txt,180,209,3,ok
wikipedia/wikipedia_20260122_125739_899.txt,26189,29973,1111,ok
wikipedia/wikipedia_20260122_125739_3469.txt,756,1153,25,ok
wikipedia/wikipedia_20260427_213144_1132.txt,1469,2123,41,ok
wikipedia/wikipedia_20260427_213144_105.txt,1623,2493,57,ok
wikipedia/wikipedia_20260122_125739_670.txt,400,469,1,ok
wikipedia/wikipedia_20260122_125739_338.txt,4713,5072,1,ok
wikipedia/wikipedia_20260122_125739_3128.txt,4703,5205,39,ok
wikipedia/wikipedia_20260122_125739_1637.txt,1542,1731,1,ok
wikipedia/wikipedia_20260122_125739_852.txt,2949,3288,2,ok
wikipedia/wikipedia_20260427_213144_880.txt,1525,1956,44,ok
wikipedia/wikipedia_20260427_213144_1281.txt,2619,3572,70,ok
wikipedia/wikipedia_20260122_125739_2769.txt,3256,3476,1,ok
wikipedia/wikipedia_20260122_125739_706.txt,19148,22381,671,ok
wikipedia/wikipedia_20260427_213144_6.txt,1229,1815,25,ok
wikipedia/wikipedia_20260427_213144_94.txt,888,1443,27,ok
wikipedia/wikipedia_20260122_125739_3417.txt,468,552,1,ok
wikipedia/wikipedia_20260122_125739_465.txt,3681,4407,336,ok
wikipedia/wikipedia_20260122_125739_2990.txt,301,342,13,ok
wikipedia/wikipedia_20260122_125739_1699.txt,357,411,14,ok
wikipedia/wikipedia_20260122_125739_1906.txt,7349,8777,196,ok
wikipedia/wikipedia_20260122_125739_1302.txt,396,461,15,ok
wikipedia/wikipedia_20260122_125739_1098.txt,319,369,9,ok
wikipedia/wikipedia_20260122_125739_119.txt,4744,5656,356,ok
wikipedia/wikipedia_20260122_125739_1464.txt,8545,9588,258,ok
wikipedia/wikipedia_20260122_125739_1121.txt,201,230,5,ok
wikipedia/wikipedia_20260122_125739_78.txt,3865,4619,311,ok
wikipedia/wikipedia_20260122_125739_3132.txt,1654,1800,1,ok
